,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
or,0.0,0.0,3.5935171513183356e-07,2.156110290791001e-06,2.8748137210546685e-06,1.4374068605273342e-06,7.187034302636671e-07,0.0,1.4374068605273342e-06,3.5935171513183356e-07,1.4374068605273342e-06,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,0.0,0.0,1.4374068605273342e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,3.234165436186502e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0780551453955006e-06,0.0
more,1.4014716890141509e-05,0.00011283643855139573,1.832693747172351e-05,0.00021920454623041848,7.402645331715771e-05,2.335786148356918e-05,0.0004240350238555636,1.617082718093251e-05,2.623267520462385e-05,0.00011283643855139573,8.983792878295839e-06,4.851248154279753e-05,3.449776465265602e-05,5.03092401184567e-06,6.1089791572411706e-06,2.515462005922835e-06,2.515462005922835e-06,1.724888232632801e-05,8.624441163164005e-06,1.4374068605273342e-06,0.0,7.187034302636671e-07,3.5935171513183356e-07,3.234165436186502e-06,8.624441163164005e-06,0.0,1.7967585756591679e-06,3.9528688664501694e-06,6.468330872373004e-06,0.0,3.5935171513183356e-07,2.515462005922835e-06,2.156110290791001e-06,0.0,1.4374068605273342e-06,3.5935171513183356e-07,2.515462005922835e-06,0.0,0.0,3.5935171513183356e-07,0.0,2.8748137210546685e-06,0.0,2.012369604738268e-05,3.5935171513183356e-07,0.0,7.546386017768504e-06,7.905737732900339e-06,3.234165436186502e-06,0.0
he,3.5935171513183356e-07,1.1139903169086841e-05,7.187034302636671e-07,0.0,0.0,2.8748137210546685e-06,0.0,6.576136386912554e-05,1.7967585756591679e-06,3.5935171513183356e-07,7.187034302636671e-07,0.00011678930741784591,0.0,3.5935171513183356e-07,0.0,7.187034302636671e-07,7.187034302636671e-07,0.0,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.671572296713836e-06,1.4374068605273342e-06,0.0,3.5935171513183356e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,1.7967585756591679e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4733420320405176e-05,0.0,0.0,0.0,0.0,7.187034302636671e-07
about,0.0,4.312220581582002e-06,2.515462005922835e-06,0.0,2.8748137210546685e-06,0.0,9.343144593427672e-06,1.0780551453955006e-06,1.3296013459877841e-05,2.5154620059228348e-05,0.0,7.1870343026366716e-06,1.0780551453955006e-06,0.0,1.0780551453955006e-06,3.5935171513183356e-07,1.4374068605273342e-06,2.8748137210546685e-06,1.2577310029614174e-05,7.187034302636671e-07,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,1.7967585756591679e-06,0.0,1.7967585756591679e-06,2.3717213198701013e-05,0.0,2.4435916628964682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7967585756591679e-06,0.0,0.0,1.0780551453955006e-06,1.7967585756591679e-06,2.156110290791001e-06,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07
who,1.4374068605273342e-06,3.9528688664501694e-06,1.2217958314482341e-05,3.5935171513183356e-07,1.4374068605273342e-06,3.5935171513183356e-07,1.0780551453955006e-06,0.0,1.0780551453955006e-06,1.0780551453955006e-06,2.156110290791001e-06,0.0,3.5935171513183356e-07,0.0,0.0,0.0,3.5935171513183356e-07,0.0,7.187034302636671e-07,7.187034302636671e-07,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,1.7967585756591679e-06,3.5935171513183358e-06,3.5935171513183356e-07,0.0,3.9528688664501694e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,7.187034302636671e-07,0.0,0.0,0.0
i,7.187034302636671e-07,3.0185544071074018e-05,1.7967585756591679e-06,3.5935171513183356e-07,0.0,3.5935171513183356e-07,3.5935171513183356e-07,2.012369604738268e-05,0.0,0.0,7.187034302636671e-07,2.5154620059228348e-05,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,7.187034302636671e-07,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.0421199738823174e-05,3.5935171513183356e-07,7.187034302636671e-07,0.0,0.0,2.156110290791001e-06,0.0,0.0,0.0,3.234165436186502e-06,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,1.4374068605273342e-06,0.0,0.0,0.0,3.5935171513183356e-07,0.0
will,1.4374068605273342e-06,2.5513971774360184e-05,1.0780551453955006e-06,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,8.947857706782656e-05,7.187034302636671e-07,1.4374068605273342e-06,3.5935171513183356e-07,1.0780551453955006e-06,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,8.624441163164005e-06,0.0,3.629452322831519e-05,3.5935171513183356e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006184802369134e-05,9.702496308559506e-06,0.0,1.2217958314482341e-05,7.187034302636671e-07,1.6889530611196176e-05,3.5935171513183358e-06,3.5935171513183356e-07,2.9826192355942185e-05,0.0,0.0,6.1089791572411706e-06,0.0,0.0,2.048304776251451e-05,0.0,0.0,5.390275726977503e-06,3.5935171513183356e-07,0.0,0.0,3.5935171513183356e-07,0.0
we,7.187034302636671e-07,5.0309240118456696e-05,4.312220581582002e-06,0.0,7.187034302636671e-07,2.515462005922835e-06,2.156110290791001e-06,6.073043985727987e-05,3.5935171513183356e-07,1.0780551453955006e-06,7.187034302636671e-07,0.0003223384884732547,2.156110290791001e-06,7.187034302636671e-07,0.0,0.0,1.7967585756591679e-06,0.0,2.156110290791001e-06,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,3.5935171513183356e-07,0.0,0.0,2.2998509768437348e-05,1.7967585756591679e-06,1.0780551453955006e-06,0.0,1.4374068605273342e-06,4.312220581582002e-06,0.0,2.156110290791001e-06,0.0,1.617082718093251e-05,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,0.0,0.0,0.0,7.905737732900339e-06,3.5935171513183356e-07,0.0,0.0,7.187034302636671e-07,0.0
can,3.5935171513183356e-07,3.234165436186502e-05,1.0780551453955006e-06,0.0,0.0,1.4374068605273342e-06,0.0,0.00015595864436721577,7.187034302636671e-07,1.0780551453955006e-06,3.5935171513183356e-07,5.03092401184567e-06,0.0,0.0,0.0,0.0,1.904564090198718e-05,0.0,3.5935171513183356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.832693747172351e-05,3.5935171513183356e-07,0.0,1.0780551453955006e-05,0.0,2.9466840640810352e-05,1.006184802369134e-05,0.0,0.00012756985887180092,7.187034302636671e-07,0.0,6.144914328754353e-05,0.0,0.0,5.1746646978984034e-05,0.0,0.0,5.066859183358853e-05,3.5935171513183358e-06,0.0,0.0,1.724888232632801e-05,0.0
its,0.0,0.0001969247398922448,0.00020051825704356312,0.0,9.019728049809023e-05,0.00011175838340600024,0.00034318088795090107,1.0421199738823174e-05,0.00021273621535804546,3.8809985234238025e-05,3.485711636778786e-05,9.702496308559506e-06,3.5935171513183356e-07,3.306035779212869e-05,4.8871833257929365e-05,1.0421199738823174e-05,0.0,2.515462005922835e-06,7.187034302636671e-07,1.6530178896064343e-05,0.0,0.0,0.0,3.5935171513183356e-07,3.5935171513183356e-07,0.0,7.187034302636671e-07,3.5935171513183356e-05,1.7967585756591679e-06,3.5935171513183356e-07,0.0,1.724888232632801e-05,0.0,1.0780551453955006e-06,1.4374068605273342e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.5935171513183356e-07,0.0,0.0,0.0,0.0,2.1920454623041846e-05,0.0,4.671572296713836e-06,0.0
