,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
on,1.633708742405404e-06,3.688742371010097e-05,3.0094634728520603e-06,2.751509460893312e-06,5.15908023917496e-06,2.57954011958748e-05,1.8056780837112361e-06,1.547724071752488e-05,2.3215861076287323e-06,5.5460112571130824e-05,3.267417484810808e-06,2.063632095669984e-06,6.07051774809587e-05,6.87877365223328e-07,6.01892694570412e-07,7.566651017456608e-06,6.534834969621616e-06,2.9148803351338526e-05,6.139305484618203e-05,6.87877365223328e-07,4.2992335326458e-07,0.0,2.3215861076287323e-06,2.966471137525602e-05,0.00012553761915325737,1.633708742405404e-06,1.848670419037694e-05,1.5219286705566133e-05,2.3473815088246067e-05,3.5597653650307226e-05,0.0,2.9234788021991442e-06,5.15908023917496e-07,1.203785389140824e-06,6.01892694570412e-07,6.87877365223328e-07,8.5984670652916e-07,3.353402155463724e-06,2.235601436975816e-05,1.8056780837112361e-06,1.71969341305832e-07,8.5984670652916e-07,6.190896287009953e-06,1.2811715927284485e-05,9.45831377182076e-07,7.738620358762441e-07,2.57954011958748e-07,1.4359439999036972e-05,3.1470389458967255e-05,1.031816047834992e-06
as,5.15908023917496e-07,3.65434850274893e-05,5.9329422750512045e-06,1.71969341305832e-07,2.5967370537180634e-05,8.5984670652916e-06,9.372329101167844e-06,1.93465508969061e-05,3.5253714967695562e-06,1.71969341305832e-05,5.58900359243954e-06,1.71969341305832e-07,9.716267783779509e-06,1.375754730446656e-06,1.633708742405404e-06,2.751509460893312e-06,2.0722305627352757e-05,2.407570778281648e-06,6.603622706143949e-05,3.353402155463724e-06,4.2992335326458e-07,1.71969341305832e-07,8.5984670652916e-08,3.1470389458967255e-05,7.085136861800278e-05,8.5984670652916e-08,5.864154538528871e-05,3.035258874047935e-05,6.87877365223328e-06,4.815141556563296e-06,1.71969341305832e-07,2.57954011958748e-06,4.2992335326458e-07,3.181432814157892e-06,1.203785389140824e-06,3.65434850274893e-05,1.633708742405404e-06,8.5984670652916e-07,2.046435161539401e-05,8.5984670652916e-07,0.0,1.203785389140824e-06,5.073095568522044e-06,1.977647425017068e-06,1.4617394010995721e-06,9.45831377182076e-07,6.01892694570412e-07,8.5984670652916e-07,3.783325508728304e-06,1.28977005979374e-06
are,9.716267783779509e-06,0.0001079967463400625,4.729156885910381e-06,2.57954011958748e-07,5.245064909827876e-06,5.417034251133708e-06,4.127264191339968e-06,0.0003573522912335189,2.235601436975816e-06,2.235601436975816e-06,3.86931017938122e-06,4.2992335326458e-07,4.041279520687052e-06,1.375754730446656e-06,1.71969341305832e-07,5.15908023917496e-07,1.0920053172920333e-05,8.5984670652916e-08,1.3843531975119476e-05,1.28977005979374e-06,2.57954011958748e-07,0.0,3.508174562638973e-05,6.706804310927448e-06,9.45831377182076e-07,2.57954011958748e-07,7.738620358762441e-07,2.3989723112163565e-05,2.5537447183916053e-05,2.063632095669984e-06,5.15908023917496e-07,2.235601436975816e-06,0.00019088596884947353,2.235601436975816e-06,0.0,0.00031513381794293717,1.71969341305832e-07,1.71969341305832e-07,0.0007631139520446295,4.2992335326458e-07,8.5984670652916e-08,0.0014784204272062379,4.5571875446045485e-06,0.0,3.422189891986057e-05,9.879638658020049e-05,2.57954011958748e-07,1.203785389140824e-06,7.738620358762441e-07,2.57954011958748e-07
from,6.87877365223328e-07,2.2871922393675656e-05,5.15908023917496e-07,4.2992335326458e-07,1.71969341305832e-06,2.407570778281648e-06,6.01892694570412e-07,7.824605029415357e-06,5.15908023917496e-07,1.28977005979374e-05,2.665524790240396e-06,8.5984670652916e-08,7.652635688109525e-06,1.203785389140824e-06,3.43938682611664e-07,4.2992335326458e-07,9.88823712508534e-06,5.331049580480792e-06,2.768706395023895e-05,4.2992335326458e-07,1.203785389140824e-06,8.5984670652916e-08,2.57954011958748e-07,2.407570778281648e-06,7.394681676150777e-06,0.0,2.751509460893312e-06,4.2992335326458e-06,4.5571875446045485e-06,1.2639746585978653e-05,8.5984670652916e-08,6.01892694570412e-07,8.5984670652916e-08,1.71969341305832e-07,8.5984670652916e-08,0.0,6.87877365223328e-07,1.375754730446656e-06,2.8460925986115197e-05,1.203785389140824e-06,0.0,1.71969341305832e-07,1.4617394010995721e-06,9.45831377182076e-07,3.43938682611664e-07,8.5984670652916e-08,8.5984670652916e-08,6.87877365223328e-07,3.86931017938122e-06,6.01892694570412e-07
by,1.71969341305832e-07,3.834916311120054e-05,3.0954481435049764e-06,4.2992335326458e-07,5.15908023917496e-06,4.6431722152574645e-06,2.407570778281648e-06,2.837494131546228e-05,1.28977005979374e-06,4.006885652425886e-05,6.87877365223328e-06,5.15908023917496e-07,3.6113561674224723e-06,1.891662754364152e-06,4.2992335326458e-07,2.57954011958748e-07,1.4703378681648636e-05,3.353402155463724e-06,2.2441999040411078e-05,1.633708742405404e-06,6.01892694570412e-07,8.5984670652916e-08,4.2992335326458e-07,7.0507429935391124e-06,8.856421077250348e-06,0.0,1.246777724467282e-05,1.7712842154500696e-05,1.5735194729483627e-05,7.566651017456608e-06,0.0,1.375754730446656e-06,3.43938682611664e-07,0.0,1.031816047834992e-06,8.5984670652916e-08,1.891662754364152e-06,1.031816047834992e-06,9.372329101167844e-06,7.738620358762441e-07,8.5984670652916e-08,1.71969341305832e-07,8.684451735944516e-06,2.57954011958748e-07,6.87877365223328e-07,2.57954011958748e-07,3.43938682611664e-07,1.71969341305832e-07,3.86931017938122e-06,8.770436406597433e-06
has,2.57954011958748e-07,5.907146873855329e-05,8.5984670652916e-08,4.2992335326458e-07,1.031816047834992e-06,8.5984670652916e-07,3.43938682611664e-07,0.00011358574993250205,0.0,3.0094634728520603e-06,5.15908023917496e-07,4.2992335326458e-07,2.57954011958748e-07,0.0,8.5984670652916e-08,6.87877365223328e-07,3.104046610570268e-05,1.71969341305832e-07,0.00021203819783009086,0.0,1.71969341305832e-07,8.5984670652916e-08,1.4617394010995721e-06,2.57954011958748e-07,8.5984670652916e-08,8.5984670652916e-08,6.87877365223328e-07,6.362865628315784e-06,7.0507429935391124e-06,8.5984670652916e-08,3.2760159518761e-05,2.57954011958748e-07,5.5460112571130824e-05,7.738620358762441e-07,1.71969341305832e-07,8.5984670652916e-08,3.43938682611664e-07,1.71969341305832e-06,9.45831377182076e-07,8.5984670652916e-08,0.0,1.031816047834992e-06,2.734312526762729e-05,0.0,1.3585577963160729e-05,2.57954011958748e-07,8.5984670652916e-08,0.0,2.0980259639311504e-05,1.71969341305832e-07
this,1.203785389140824e-06,9.088579688013222e-05,0.00034944170153345067,6.87877365223328e-07,0.0001397250898109885,0.0003352542308757195,0.00011367173460315496,0.0001999143592680297,0.00019716284980713638,2.880486466872686e-05,0.00010662099160961585,1.6509056765359873e-05,3.181432814157892e-06,4.204650394927593e-05,2.4247677124122313e-05,5.417034251133708e-06,5.8469576043982885e-06,3.86931017938122e-06,3.731734706336554e-05,3.6285531015530554e-05,1.4617394010995721e-06,0.0,4.2992335326458e-07,3.7145377722059716e-05,5.8469576043982885e-06,3.43938682611664e-07,8.856421077250348e-06,5.8383591373329965e-05,1.8056780837112361e-06,6.964758322886196e-06,0.0,8.314717652136978e-05,2.57954011958748e-07,7.738620358762441e-07,7.394681676150777e-06,8.5984670652916e-08,5.331049580480792e-06,1.71969341305832e-07,1.7110949459930284e-05,1.117800718487908e-06,0.0,8.5984670652916e-08,1.2037853891408241e-05,6.01892694570412e-07,3.0094634728520603e-06,2.57954011958748e-07,1.1779899879449492e-05,4.2992335326458e-07,5.503018921786624e-06,4.6431722152574645e-06
was,1.375754730446656e-06,3.129842011766143e-05,3.43938682611664e-07,8.5984670652916e-08,1.117800718487908e-06,1.375754730446656e-06,6.87877365223328e-07,0.0001386932737631535,4.2992335326458e-07,8.512482394638684e-06,1.031816047834992e-06,1.031816047834992e-06,1.71969341305832e-07,8.5984670652916e-08,8.5984670652916e-08,8.5984670652916e-08,6.466047233099283e-05,1.5477240717524882e-06,0.0005686166270277335,3.43938682611664e-07,8.5984670652916e-08,2.57954011958748e-07,7.394681676150777e-06,8.5984670652916e-08,8.5984670652916e-08,0.0,0.0,4.987110897869128e-06,5.331049580480792e-06,8.5984670652916e-08,9.363730634102553e-05,1.5477240717524882e-06,1.93465508969061e-05,0.000322442514948435,8.5984670652916e-08,9.45831377182076e-07,8.5984670652916e-08,1.117800718487908e-06,5.417034251133708e-06,3.43938682611664e-07,0.0,4.127264191339968e-06,1.375754730446656e-06,0.0,1.874465820233569e-05,8.5984670652916e-08,8.5984670652916e-08,8.5984670652916e-08,9.802252454432424e-06,2.235601436975816e-06
it,4.5571875446045485e-06,0.0005664670102614106,0.00016904586250363285,7.738620358762441e-07,8.65005786768335e-05,6.104911616357036e-05,9.750661652040675e-05,0.0006181437973238131,9.544298442473677e-05,0.00012373194106954613,0.00010662099160961585,0.00012631148118913361,4.729156885910381e-06,3.938097915903553e-05,9.88823712508534e-06,6.018926945704121e-06,2.175412167518775e-05,8.512482394638684e-06,5.8469576043982885e-05,4.170256526666426e-05,2.3215861076287323e-06,1.71969341305832e-07,5.15908023917496e-07,4.686164550583922e-05,1.3327623951201981e-05,1.891662754364152e-06,1.659504143601279e-05,0.0003333625681213553,2.949274203395019e-05,1.0146191137044088e-05,1.71969341305832e-07,0.000213929860584455,3.0954481435049764e-06,1.031816047834992e-06,1.8830642872988605e-05,4.2992335326458e-07,6.706804310927448e-06,3.43938682611664e-07,2.046435161539401e-05,1.031816047834992e-06,0.0,8.5984670652916e-07,5.150481772109669e-05,1.71969341305832e-07,8.5984670652916e-06,1.203785389140824e-06,2.2871922393675656e-05,3.0094634728520603e-06,1.6423072094706956e-05,2.6569263231751045e-05
at,1.633708742405404e-06,3.637151568618347e-05,6.362865628315784e-06,6.01892694570412e-07,1.6423072094706956e-05,7.291500071367278e-05,7.480666346803693e-06,1.6681026106665703e-05,6.706804310927448e-06,4.797944622432713e-05,1.0404145149002837e-05,3.43938682611664e-07,5.6921851972230394e-05,2.407570778281648e-06,1.28977005979374e-06,1.8056780837112361e-06,4.385218203298716e-06,1.1779899879449492e-05,4.101468790144093e-05,6.87877365223328e-07,6.01892694570412e-07,0.0,1.633708742405404e-06,3.723136239271263e-05,5.37404191580725e-05,1.375754730446656e-06,1.7110949459930284e-05,3.4135914249207655e-05,3.465182227312515e-05,4.6431722152574645e-06,0.0,1.8056780837112361e-06,2.57954011958748e-07,5.15908023917496e-07,2.1496167663229e-06,1.8056780837112361e-06,4.213248861992884e-06,1.4617394010995721e-06,1.3671562633813645e-05,1.5477240717524882e-06,0.0,1.71969341305832e-06,3.0094634728520603e-06,2.235601436975816e-06,1.031816047834992e-06,4.2992335326458e-07,1.71969341305832e-07,6.620819640274532e-06,5.417034251133708e-06,1.375754730446656e-06
