,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
from,0.0,0.0016,0.0004,0.0,0.0004,0.0048,0.0,0.0002,0.0002,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.004,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.005,0.0004,0.0008,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0006,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.0,0.0024,0.0,0.0,0.001,0.001,0.0002,0.004,0.0,0.0008,0.0018,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0082,0.0004,0.0002,0.0,0.0006,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0
has,0.0,0.0144,0.0,0.0006,0.0,0.0002,0.0,0.1226,0.0002,0.0002,0.0,0.0006,0.0,0.0,0.0,0.0,0.0084,0.0,0.0284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0174,0.0004,0.0,0.03,0.0,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0404,0.0,0.0,0.0,0.0014,0.0
this,0.0,0.0166,0.2628,0.0002,0.0498,0.1634,0.0332,0.059,0.022,0.0034,0.1218,0.0146,0.0002,0.0364,0.0132,0.0006,0.0,0.0002,0.006,0.0076,0.0004,0.0,0.0,0.0004,0.0,0.0,0.0008,0.0066,0.0004,0.0056,0.001,0.0048,0.0,0.0002,0.0014,0.0,0.0,0.0,0.001,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0146,0.0,0.0004,0.0
was,0.0,0.01,0.0008,0.0,0.0004,0.0008,0.0004,0.0258,0.0004,0.0,0.0002,0.003,0.0,0.0,0.0,0.0,0.0052,0.0002,0.0734,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0058,0.0002,0.0,0.024,0.0004,0.014,0.0128,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0144,0.0,0.0,0.0,0.0008,0.0
it,0.0,0.0146,0.0022,0.0,0.0012,0.0038,0.0022,0.0432,0.011,0.0072,0.002,0.0682,0.0,0.0012,0.0,0.0006,0.0004,0.0006,0.0006,0.0002,0.0,0.0,0.0,0.0004,0.0026,0.0,0.0004,0.0264,0.0022,0.0004,0.0,0.0006,0.0004,0.0002,0.0012,0.0,0.0004,0.0,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0,0.0004,0.0,0.0002,0.0
at,0.0,0.0056,0.0022,0.0,0.0024,0.0016,0.004,0.0082,0.0008,0.0116,0.0,0.0006,0.0132,0.0,0.0006,0.0026,0.0,0.0032,0.0014,0.0,0.0,0.0,0.0,0.0014,0.0022,0.0,0.001,0.001,0.002,0.001,0.0,0.0002,0.0012,0.0002,0.0002,0.0006,0.0002,0.0,0.0002,0.0006,0.0,0.0008,0.0002,0.0014,0.0008,0.0,0.0,0.0012,0.0002,0.0002
new,0.1808,0.0402,0.2042,0.1406,0.0754,0.1498,0.0626,0.0124,0.0296,0.0038,0.0276,0.0398,0.0012,0.0266,0.0166,0.0004,0.0164,0.0004,0.001,0.027,0.0,0.0036,0.003,0.0006,0.0008,0.0,0.0002,0.0014,0.0016,0.0018,0.0,0.0038,0.0,0.0,0.0006,0.0004,0.0,0.001,0.0006,0.0024,0.0012,0.0,0.0,0.0002,0.0006,0.0024,0.016,0.0,0.0014,0.0
his,0.0,0.0622,0.1612,0.0,0.063,0.0804,0.1298,0.0276,0.053,0.006,0.0416,0.0078,0.0008,0.035,0.017,0.0004,0.0002,0.002,0.0018,0.0056,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0,0.0104,0.001,0.001,0.0012,0.017,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0002,0.0024,0.0002
their,0.0,0.1092,0.204,0.0,0.0818,0.1508,0.1138,0.0302,0.0856,0.0038,0.0742,0.0096,0.0006,0.0318,0.016,0.0004,0.0,0.0004,0.0014,0.0086,0.0,0.0,0.0,0.0014,0.0002,0.0,0.0,0.019,0.0012,0.0012,0.0,0.0368,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0386,0.0004,0.0004,0.0
