,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,2.16,2294.6400000000003,5677.61,1.7999999999999998,2358.32,3807.14,1417.15,714.15,1249.5,222.7,1516.0900000000001,1060.26,84.91,1041.55,554.41,47.849999999999994,8.27,70.88,55.050000000000004,681.41,3.9600000000000004,0.0,0.0,30.22,29.14,0.0,13.67,345.38,84.19000000000001,18.349999999999998,3.2399999999999998,611.98,7.199999999999999,9.71,30.580000000000002,3.9600000000000004,9.71,0.0,17.99,10.79,0.0,6.84,1.7999999999999998,7.199999999999999,8.63,2.52,826.04,9.35,97.14,3.9600000000000004
and,0.36,0.0,3.9600000000000004,0.36,5.76,20.15,6.4799999999999995,0.36,5.4,1.44,24.46,1.44,0.36,3.2399999999999998,1.44,0.0,0.72,0.36,3.9600000000000004,0.0,2.88,0.36,0.0,0.0,0.36,0.0,0.72,0.0,0.36,1.7999999999999998,0.36,1.7999999999999998,1.7999999999999998,1.44,3.2399999999999998,0.0,2.16,0.0,3.5999999999999996,2.52,0.0,0.36,0.0,0.0,0.0,0.36,0.36,0.0,1.08,0.0
of,2.16,12.95,23.39,0.0,20.15,29.5,5.04,14.389999999999999,3.2399999999999998,26.98,2.16,178.09,0.36,5.4,4.68,2.16,1.08,15.83,8.27,1.7999999999999998,0.0,0.0,0.0,0.0,3.5999999999999996,0.0,0.0,9.71,0.72,4.68,0.0,0.0,1.44,0.0,3.2399999999999998,0.0,1.08,0.0,0.72,3.5999999999999996,0.0,0.0,0.0,0.72,1.44,0.0,5.04,0.0,129.88,1.08
a,0.0,704.4399999999999,821.01,1.7999999999999998,755.89,1148.76,718.11,94.62,873.53,787.19,260.48,1892.4199999999998,75.55,159.74,206.51,117.65,17.99,174.13,319.84,220.9,0.0,0.0,0.0,48.57,59.36,0.36,16.189999999999998,266.59,132.4,2.52,12.59,25.9,6.84,3.9600000000000004,11.87,5.76,39.22,0.0,25.9,25.54,0.0,14.389999999999999,2.88,44.97,13.31,0.0,304.01,18.709999999999997,2.52,15.83
to,0.36,117.65,0.36,0.36,1.08,19.43,3.5999999999999996,3.2399999999999998,1.08,71.60000000000001,12.59,3.2399999999999998,3.2399999999999998,0.36,0.72,20.509999999999998,2.16,17.27,34.54,0.0,3.5999999999999996,0.0,0.0,22.67,3.2399999999999998,0.0,27.34,110.81,31.3,3.2399999999999998,1.44,0.0,0.36,3.2399999999999998,9.35,9.35,0.0,0.0,73.03,28.779999999999998,0.0,1.44,0.36,1.7999999999999998,6.4799999999999995,0.36,0.0,3.5999999999999996,3.5999999999999996,1.08
in,0.36,34.18,1.08,0.0,6.4799999999999995,0.0,3.2399999999999998,29.14,2.16,17.99,7.920000000000001,3.5999999999999996,29.14,0.36,1.08,3.2399999999999998,2.88,5.04,16.189999999999998,0.36,0.36,0.0,0.0,1.08,4.32,0.0,9.35,56.839999999999996,7.920000000000001,3.5999999999999996,1.08,0.72,3.9600000000000004,2.88,0.72,0.36,0.72,0.0,6.84,4.32,0.0,1.7999999999999998,0.0,2.88,2.16,0.0,0.0,2.88,3.2399999999999998,2.88
for,0.0,21.950000000000003,0.36,0.36,2.52,5.04,1.08,6.12,1.44,11.15,1.44,1.7999999999999998,5.04,0.0,1.08,0.36,0.36,1.08,7.920000000000001,0.0,0.0,0.0,0.0,2.16,0.0,0.0,1.7999999999999998,118.72999999999999,1.7999999999999998,1.08,0.0,1.08,0.0,0.0,0.36,0.0,0.72,0.0,4.32,3.2399999999999998,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0
that,0.36,39.22,21.950000000000003,0.0,11.15,10.43,5.4,0.0,3.5999999999999996,30.939999999999998,11.15,8.27,0.0,7.56,0.0,0.72,0.72,5.4,1.7999999999999998,2.52,0.0,0.36,0.0,0.36,0.0,0.0,1.08,5.04,1.7999999999999998,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.08,0.36,0.0,0.0,0.0,0.0,0.0,0.72,1.44,0.0,24.46,0.36
with,0.0,14.75,0.36,0.0,0.36,12.95,0.72,6.4799999999999995,0.36,0.72,3.2399999999999998,4.32,4.68,0.0,0.0,0.36,2.52,0.36,19.07,0.0,0.0,0.0,0.0,2.88,1.44,0.0,0.36,26.62,2.16,2.52,0.36,0.36,0.0,0.0,0.0,0.72,0.36,0.0,6.4799999999999995,6.12,0.0,0.36,0.0,0.72,0.0,0.0,0.0,0.36,1.08,1.08
is,0.0,49.65,1.7999999999999998,0.72,0.72,1.08,0.72,140.67,0.36,0.0,1.08,23.39,0.0,0.0,0.0,0.0,39.22,0.36,475.97999999999996,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.36,22.310000000000002,4.32,0.72,28.06,0.36,22.310000000000002,0.36,0.0,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,48.57,0.36,0.36,0.0,11.15,0.0
on,0.36,7.199999999999999,0.36,0.0,1.44,25.9,3.9600000000000004,2.16,0.36,25.9,0.0,0.0,14.75,0.0,0.0,2.88,0.72,6.12,4.68,0.0,0.0,0.0,0.0,8.27,8.27,0.0,0.72,18.349999999999998,3.2399999999999998,32.379999999999995,0.36,0.0,1.44,0.36,34.18,1.08,5.4,0.0,6.12,9.35,0.0,1.08,0.0,1.44,0.0,0.0,0.0,5.04,0.0,0.0
as,0.0,19.07,1.44,0.0,28.779999999999998,5.76,2.52,26.98,2.16,22.310000000000002,1.44,0.0,20.509999999999998,0.0,1.08,0.72,3.5999999999999996,4.68,50.73,0.36,0.0,0.0,0.0,2.52,2.16,0.0,9.71,106.49000000000001,5.4,0.72,0.36,0.72,1.44,0.36,1.08,1.44,3.9600000000000004,0.0,1.44,10.43,0.0,0.0,0.0,0.0,0.36,1.08,0.0,1.44,1.08,0.36
are,0.0,30.580000000000002,8.99,0.0,0.72,0.36,0.72,123.03999999999999,1.08,0.36,0.0,7.56,0.0,0.36,0.0,0.0,2.16,0.0,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,16.91,3.9600000000000004,0.72,0.0,1.7999999999999998,78.43,0.0,0.0,91.38,0.0,0.0,35.98,0.36,0.0,150.03,0.0,0.0,23.03,5.4,0.0,0.0,0.0,0.0
from,0.0,2.88,0.72,0.0,0.72,8.63,0.0,0.36,0.36,0.36,0.0,0.0,0.36,0.0,0.0,0.0,0.36,0.36,7.199999999999999,0.36,0.0,0.0,0.0,0.0,0.0,0.0,1.08,8.99,0.72,1.44,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,1.08,1.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
by,0.0,4.32,0.0,0.0,1.7999999999999998,1.7999999999999998,0.36,7.199999999999999,0.0,1.44,3.2399999999999998,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,14.75,0.72,0.36,0.0,1.08,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,0.0
has,0.0,25.9,0.0,1.08,0.0,0.36,0.0,220.54,0.36,0.36,0.0,1.08,0.0,0.0,0.0,0.0,15.11,0.0,51.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,31.3,0.72,0.0,53.97,0.0,66.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,72.66999999999999,0.0,0.0,0.0,2.52,0.0
this,0.0,29.86,472.73999999999995,0.36,89.58000000000001,293.94,59.72,106.13,39.58,6.12,219.10000000000002,26.259999999999998,0.36,65.48,23.75,1.08,0.0,0.36,10.79,13.67,0.72,0.0,0.0,0.72,0.0,0.0,1.44,11.87,0.72,10.07,1.7999999999999998,8.63,0.0,0.36,2.52,0.0,0.0,0.0,1.7999999999999998,0.72,0.0,0.0,0.0,0.0,0.0,0.0,26.259999999999998,0.0,0.72,0.0
was,0.0,17.99,1.44,0.0,0.72,1.44,0.72,46.41,0.72,0.0,0.36,5.4,0.0,0.0,0.0,0.0,9.35,0.36,132.04,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,10.43,0.36,0.0,43.17,0.72,25.18,23.03,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,25.9,0.0,0.0,0.0,1.44,0.0
it,0.0,26.259999999999998,3.9600000000000004,0.0,2.16,6.84,3.9600000000000004,77.71,19.79,12.95,3.5999999999999996,122.68,0.0,2.16,0.0,1.08,0.72,1.08,1.08,0.36,0.0,0.0,0.0,0.72,4.68,0.0,0.72,47.49,3.9600000000000004,0.72,0.0,1.08,0.72,0.36,2.16,0.0,0.72,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.72,0.0,0.36,0.0
at,0.0,10.07,3.9600000000000004,0.0,4.32,2.88,7.199999999999999,14.75,1.44,20.869999999999997,0.0,1.08,23.75,0.0,1.08,4.68,0.0,5.76,2.52,0.0,0.0,0.0,0.0,2.52,3.9600000000000004,0.0,1.7999999999999998,1.7999999999999998,3.5999999999999996,1.7999999999999998,0.0,0.36,2.16,0.36,0.36,1.08,0.36,0.0,0.36,1.08,0.0,1.44,0.36,2.52,1.44,0.0,0.0,2.16,0.36,0.36
new,325.24,72.31,367.33000000000004,252.92000000000002,135.64,269.47,112.61,22.310000000000002,53.25,6.84,49.65,71.60000000000001,2.16,47.849999999999994,29.86,0.72,29.5,0.72,1.7999999999999998,48.57,0.0,6.4799999999999995,5.4,1.08,1.44,0.0,0.36,2.52,2.88,3.2399999999999998,0.0,6.84,0.0,0.0,1.08,0.72,0.0,1.7999999999999998,1.08,4.32,2.16,0.0,0.0,0.36,1.08,4.32,28.779999999999998,0.0,2.52,0.0
his,0.0,111.89,289.98,0.0,113.33,144.63,233.48999999999998,49.65,95.34,10.79,74.83,14.03,1.44,62.959999999999994,30.580000000000002,0.72,0.36,3.5999999999999996,3.2399999999999998,10.07,0.0,0.0,0.0,0.36,0.72,0.0,0.0,18.709999999999997,1.7999999999999998,1.7999999999999998,2.16,30.580000000000002,0.0,0.0,0.72,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.22,0.36,4.32,0.36
their,0.0,196.44,366.96999999999997,0.0,147.15,271.27,204.71,54.330000000000005,153.98000000000002,6.84,133.48,17.27,1.08,57.2,28.779999999999998,0.72,0.0,0.72,2.52,15.469999999999999,0.0,0.0,0.0,2.52,0.36,0.0,0.0,34.18,2.16,2.16,0.0,66.2,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.36,0.36,0.0,69.44,0.72,0.72,0.0
have,0.0,18.349999999999998,2.88,0.0,39.22,0.0,0.0,144.63,0.0,0.36,0.0,1.44,0.0,0.0,0.0,0.0,1.08,0.0,1.08,0.0,0.36,0.0,0.0,0.0,0.0,0.0,15.83,21.950000000000003,8.99,0.36,0.36,0.0,103.97,9.71,19.43,47.129999999999995,20.15,0.0,24.1,0.0,0.0,40.29,1.7999999999999998,0.0,26.62,0.36,0.0,0.0,0.72,0.0
be,0.0,24.1,0.36,0.0,482.46,0.0,0.0,31.3,0.36,3.9600000000000004,0.0,0.36,1.44,0.0,0.0,0.36,6.84,1.08,36.34,0.0,0.0,0.0,0.0,6.84,0.0,0.0,53.97,3.2399999999999998,1.08,0.0,2.52,0.0,0.72,1.08,420.58,2.16,304.73,0.0,3.2399999999999998,0.0,0.0,10.07,4.32,0.36,9.35,0.0,0.0,1.08,0.0,0.36
an,0.0,147.51,104.69,0.0,101.82,229.18,99.3,10.43,166.94,98.22,30.580000000000002,159.02,7.56,15.83,34.18,10.43,5.4,22.67,75.19,22.67,0.0,0.0,0.0,6.12,7.199999999999999,0.0,0.72,43.17,18.349999999999998,0.0,2.52,5.04,0.72,0.36,2.16,0.36,6.12,0.0,2.52,4.68,0.0,0.36,0.72,5.04,1.44,0.0,35.98,0.72,0.36,3.5999999999999996
not,0.0,17.27,9.35,0.0,35.98,3.2399999999999998,5.76,98.94,4.68,396.47,2.52,11.87,113.69,0.36,0.0,57.559999999999995,17.27,84.91,23.39,0.36,0.0,0.36,0.0,28.779999999999998,0.0,0.0,0.0,11.87,5.76,0.36,9.71,0.36,12.95,1.08,48.21,13.31,5.4,0.0,3.9600000000000004,2.88,0.0,31.66,0.0,0.0,7.920000000000001,0.72,2.16,26.98,0.36,0.0
but,0.0,0.36,0.36,0.0,0.0,0.72,1.08,0.0,0.0,2.16,0.72,0.0,0.36,0.0,0.0,0.0,0.36,0.36,1.08,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.72,0.0,0.0,0.72,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0
