,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
on,2.235601436975816e-06,4.935520095477379e-05,6.190896287009953e-06,2.665524790240396e-06,6.01892694570412e-05,2.4591615806733977e-05,3.955294850034136e-06,3.748931640467138e-05,7.394681676150777e-06,4.496998275147507e-05,1.1006037843573249e-05,3.955294850034136e-06,2.3559799758898984e-05,9.45831377182076e-07,8.5984670652916e-07,7.996574370721189e-06,6.620819640274532e-06,1.246777724467282e-05,7.489264813868984e-05,1.71969341305832e-06,4.2992335326458e-07,0.0,1.5477240717524882e-06,1.7282918801236118e-05,4.625975281126881e-05,2.1496167663229e-06,1.1521945867490745e-05,1.8314734849071107e-05,2.6999186585015627e-05,3.327606754267849e-05,3.353402155463724e-06,3.86931017938122e-06,4.471202873951632e-06,8.684451735944516e-06,6.362865628315784e-06,1.1092022514226164e-05,2.837494131546228e-06,2.57954011958748e-06,4.092870323078802e-05,1.117800718487908e-06,8.5984670652916e-08,2.1582152333881916e-05,4.041279520687052e-06,4.6431722152574645e-06,1.031816047834992e-06,4.2992335326458e-07,4.2992335326458e-07,4.213248861992884e-06,1.547724071752488e-05,4.2992335326458e-07
as,3.43938682611664e-07,4.582982945800423e-05,1.530527137621905e-05,8.5984670652916e-08,4.213248861992884e-05,8.770436406597433e-06,1.3671562633813645e-05,2.3989723112163565e-05,6.706804310927448e-06,2.6741232573056876e-05,8.5984670652916e-06,1.28977005979374e-06,1.5219286705566133e-05,3.43938682611664e-06,1.891662754364152e-06,2.665524790240396e-06,1.5735194729483627e-05,2.57954011958748e-06,5.760972933745372e-05,6.792788981580364e-06,4.2992335326458e-07,8.5984670652916e-08,2.57954011958748e-07,2.2957907064328573e-05,3.0180619399173518e-05,1.71969341305832e-07,3.843514778185345e-05,3.7059393051406796e-05,9.544298442473676e-06,3.955294850034136e-06,3.43938682611664e-07,4.6431722152574645e-06,2.57954011958748e-06,2.665524790240396e-06,5.674988263092456e-06,2.8460925986115197e-05,5.417034251133708e-06,1.4617394010995721e-06,1.547724071752488e-05,4.2992335326458e-07,0.0,5.417034251133708e-06,4.471202873951632e-06,6.87877365223328e-07,1.8056780837112361e-06,6.87877365223328e-07,1.117800718487908e-06,1.891662754364152e-06,3.0954481435049764e-06,1.031816047834992e-06
are,9.458313771820761e-06,0.00019406740166363142,2.7601079279586038e-05,3.43938682611664e-07,1.3499593292507813e-05,1.2381792574019905e-05,1.2209823232714073e-05,0.0006017207252291062,6.620819640274532e-06,1.607913341209529e-05,1.0232175807697005e-05,3.3018113530719746e-05,6.276880957662868e-06,2.407570778281648e-06,1.117800718487908e-06,1.28977005979374e-06,1.2639746585978653e-05,3.43938682611664e-07,1.4789363352301553e-05,2.493555448934564e-06,4.2992335326458e-07,0.0,2.8288956644809367e-05,4.2992335326458e-06,3.43938682611664e-06,3.43938682611664e-07,1.977647425017068e-06,7.472067879738401e-05,3.8521132452506366e-05,4.987110897869128e-06,6.87877365223328e-07,7.480666346803693e-06,0.00020378366944741094,8.5984670652916e-07,3.43938682611664e-07,0.00024350858728905812,5.15908023917496e-07,4.2992335326458e-07,0.0006338789920532968,1.71969341305832e-07,8.5984670652916e-08,0.0011677578121372521,4.987110897869128e-06,0.0,3.353402155463724e-05,8.177142179092313e-05,1.031816047834992e-06,3.86931017938122e-06,3.5253714967695562e-06,1.117800718487908e-06
from,8.5984670652916e-07,9.974221795738256e-06,2.665524790240396e-06,4.2992335326458e-07,1.7024964789277367e-05,2.9234788021991442e-06,1.031816047834992e-06,9.974221795738256e-06,6.87877365223328e-07,9.372329101167844e-06,3.5253714967695562e-06,6.87877365223328e-07,5.674988263092456e-06,1.5477240717524882e-06,5.15908023917496e-07,3.43938682611664e-07,9.114375089209097e-06,2.493555448934564e-06,2.906281868068561e-05,2.665524790240396e-06,1.203785389140824e-06,8.5984670652916e-08,1.71969341305832e-07,1.71969341305832e-06,3.181432814157892e-06,0.0,1.031816047834992e-06,4.729156885910381e-06,4.6431722152574645e-06,1.2725731256631568e-05,4.2992335326458e-07,1.031816047834992e-06,2.57954011958748e-07,4.2992335326458e-07,5.15908023917496e-07,1.71969341305832e-07,6.87877365223328e-07,1.375754730446656e-06,2.837494131546228e-05,1.117800718487908e-06,0.0,2.407570778281648e-06,9.45831377182076e-07,0.0,6.87877365223328e-07,1.71969341305832e-07,8.5984670652916e-08,7.738620358762441e-07,3.0094634728520603e-06,2.57954011958748e-07
by,1.71969341305832e-07,4.127264191339968e-05,5.9329422750512045e-06,1.71969341305832e-07,9.458313771820761e-06,5.9329422750512045e-06,4.729156885910381e-06,2.5881385866527717e-05,2.751509460893312e-06,3.568363832096014e-05,8.426497723985768e-06,3.783325508728304e-06,2.493555448934564e-06,3.0094634728520603e-06,6.01892694570412e-07,3.43938682611664e-07,1.50473173642603e-05,2.57954011958748e-06,2.3473815088246067e-05,1.891662754364152e-06,7.738620358762441e-07,0.0,6.87877365223328e-07,6.4488502989687e-06,4.729156885910381e-06,0.0,6.706804310927448e-06,1.8228750178418194e-05,1.676701077731862e-05,6.792788981580364e-06,8.5984670652916e-08,2.3215861076287323e-06,4.2992335326458e-07,3.43938682611664e-07,1.203785389140824e-06,6.01892694570412e-07,9.45831377182076e-07,1.28977005979374e-06,9.200359759862012e-06,3.43938682611664e-07,8.5984670652916e-08,1.891662754364152e-06,6.018926945704121e-06,0.0,1.117800718487908e-06,1.71969341305832e-07,6.01892694570412e-07,2.57954011958748e-07,3.783325508728304e-06,3.955294850034136e-06
has,5.15908023917496e-07,8.091157508439396e-05,2.665524790240396e-06,2.57954011958748e-07,3.0094634728520603e-06,2.235601436975816e-06,1.28977005979374e-06,0.0001284610979554565,9.45831377182076e-07,4.987110897869128e-06,1.891662754364152e-06,3.181432814157892e-06,1.71969341305832e-07,2.57954011958748e-07,9.45831377182076e-07,1.4617394010995721e-06,2.777304862089187e-05,3.43938682611664e-07,0.00016930381651559162,8.5984670652916e-08,5.15908023917496e-07,1.71969341305832e-07,9.45831377182076e-07,3.43938682611664e-07,8.5984670652916e-08,0.0,6.01892694570412e-07,2.235601436975816e-05,6.706804310927448e-06,9.45831377182076e-07,2.3473815088246067e-05,9.45831377182076e-07,5.245064909827876e-05,6.87877365223328e-07,1.71969341305832e-07,8.5984670652916e-08,5.15908023917496e-07,1.633708742405404e-06,1.203785389140824e-06,1.71969341305832e-07,0.0,1.203785389140824e-06,1.6251102753401125e-05,0.0,1.3843531975119476e-05,8.5984670652916e-08,1.71969341305832e-07,1.71969341305832e-07,1.9690489579517764e-05,1.71969341305832e-07
this,1.117800718487908e-06,0.00010086001867587047,0.0003523651803356498,3.43938682611664e-07,0.00015176294370239675,0.0003079111056080922,0.00011324181124989038,0.00019140187687339102,0.00018452310322115774,3.353402155463724e-05,0.0001058471295737396,1.848670419037694e-05,3.181432814157892e-06,4.2218473290581756e-05,2.36457844295519e-05,4.729156885910381e-06,5.58900359243954e-06,4.213248861992884e-06,3.5597653650307226e-05,3.387796023724891e-05,2.3215861076287323e-06,0.0,3.43938682611664e-07,1.805678083711236e-05,4.041279520687052e-06,5.15908023917496e-07,6.792788981580364e-06,6.689607376796865e-05,9.114375089209097e-06,1.4531409340342804e-05,6.87877365223328e-07,8.409300789855186e-05,1.8056780837112361e-06,6.620819640274532e-06,7.566651017456608e-06,3.181432814157892e-06,6.018926945704121e-06,6.01892694570412e-07,2.192609101649358e-05,5.15908023917496e-07,8.5984670652916e-08,5.9329422750512045e-06,1.1521945867490745e-05,6.87877365223328e-07,2.57954011958748e-06,3.43938682611664e-07,1.1865884550102409e-05,5.15908023917496e-07,6.104911616357037e-06,3.353402155463724e-06
was,1.977647425017068e-06,8.357709987463435e-05,6.104911616357037e-06,3.43938682611664e-07,3.6113561674224723e-06,2.9234788021991442e-06,3.0094634728520603e-06,0.00023774761435531276,1.4617394010995721e-06,7.0507429935391124e-06,2.751509460893312e-06,1.0146191137044088e-05,3.43938682611664e-07,4.2992335326458e-07,7.738620358762441e-07,1.71969341305832e-07,5.055898634391461e-05,2.837494131546228e-06,0.00041461808188836095,8.5984670652916e-07,5.15908023917496e-07,8.5984670652916e-08,5.7609729337453724e-06,2.57954011958748e-07,1.28977005979374e-06,8.5984670652916e-08,8.5984670652916e-08,2.9836680716561854e-05,7.0507429935391124e-06,7.738620358762441e-07,7.730021891697149e-05,4.5571875446045485e-06,1.8830642872988605e-05,0.000284609259861152,8.5984670652916e-08,9.45831377182076e-07,8.5984670652916e-08,9.45831377182076e-07,6.706804310927448e-06,9.45831377182076e-07,0.0,5.9329422750512045e-06,2.3215861076287323e-06,8.5984670652916e-08,1.9002612214294436e-05,0.0,2.57954011958748e-07,8.5984670652916e-07,9.630283113126592e-06,1.1263991855531996e-05
it,4.815141556563296e-06,0.0005651772402016169,0.00018073977771242944,8.5984670652916e-07,0.00010911454705855041,6.741198179188615e-05,0.00010859863903463291,0.0004968194270325487,0.0001031816047834992,0.0001713674486112616,0.00010997439376507957,0.00012149633963257031,8.254528382679936e-06,4.153059592535843e-05,1.1092022514226164e-05,5.503018921786624e-06,1.8830642872988605e-05,8.254528382679936e-06,6.741198179188615e-05,4.3336274009069666e-05,2.751509460893312e-06,0.0,7.738620358762441e-07,2.1582152333881916e-05,1.4875348022954469e-05,1.891662754364152e-06,9.02839041855618e-06,0.0003315568900376441,4.686164550583922e-05,2.493555448934564e-05,3.5253714967695562e-06,0.0002116942591474792,3.955294850034136e-06,5.245064909827876e-06,1.4961332693607385e-05,2.9234788021991442e-06,6.190896287009953e-06,8.5984670652916e-07,2.9148803351338526e-05,1.375754730446656e-06,0.0,9.630283113126592e-06,4.282036598515217e-05,3.43938682611664e-07,5.331049580480792e-06,1.031816047834992e-06,2.3731769100204818e-05,2.3215861076287323e-06,1.50473173642603e-05,2.0378366944741093e-05
at,1.203785389140824e-06,4.196051927862301e-05,8.684451735944516e-06,1.71969341305832e-07,3.989688718295302e-05,7.282901604301986e-05,9.88823712508534e-06,2.3473815088246067e-05,9.974221795738256e-06,2.8116987303503533e-05,1.2037853891408241e-05,1.4617394010995721e-06,2.132419832192317e-05,3.0954481435049764e-06,1.375754730446656e-06,3.0954481435049764e-06,4.213248861992884e-06,6.362865628315784e-06,4.170256526666426e-05,9.45831377182076e-07,6.01892694570412e-07,0.0,1.5477240717524882e-06,1.8228750178418194e-05,2.7171155926321457e-05,5.15908023917496e-07,8.254528382679936e-06,3.4135914249207655e-05,3.576962299161306e-05,4.041279520687052e-06,1.375754730446656e-06,3.6113561674224723e-06,2.046435161539401e-05,4.471202873951632e-06,2.751509460893312e-06,7.566651017456608e-06,2.665524790240396e-06,1.5477240717524882e-06,2.7171155926321457e-05,8.5984670652916e-07,8.5984670652916e-08,3.164235880027309e-05,1.71969341305832e-06,4.2992335326458e-07,1.5477240717524882e-06,1.71969341305832e-07,4.2992335326458e-07,2.493555448934564e-06,4.987110897869128e-06,6.87877365223328e-07
