,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,6.1,1258.9299999999998,4591.76,1.33,1831.77,3712.08,1393.1200000000001,600.6899999999999,682.9,603.0799999999999,1346.98,488.23999999999995,127.03000000000002,949.7,636.76,57.809999999999995,51.71,204.73999999999998,141.35,952.88,1.8599999999999999,0.53,0.27,54.9,142.15,0.0,59.14,299.67999999999995,89.64,150.11,38.45,394.36,37.129999999999995,16.18,70.53999999999999,14.32,11.399999999999999,0.0,40.58,27.32,0.0,19.36,15.65,18.830000000000002,44.55,10.34,264.94,34.74,148.51,108.73
and,0.53,8.219999999999999,14.59,1.59,37.92,44.29,26.79,22.28,13.790000000000001,13.790000000000001,23.07,4.51,6.9,5.3,5.83,0.53,6.63,4.24,50.38999999999999,4.51,2.92,0.53,0.0,1.33,1.8599999999999999,0.0,2.92,2.39,0.7999999999999999,26.259999999999998,25.46,12.2,5.04,3.45,2.92,1.06,1.8599999999999999,0.27,19.63,14.059999999999999,0.0,2.65,0.53,1.06,0.0,1.59,1.33,1.8599999999999999,7.6899999999999995,9.28
of,0.27,86.19,15.379999999999999,0.0,18.830000000000002,17.5,5.3,26.79,8.75,43.76,7.6899999999999995,56.22,4.51,4.51,4.24,2.65,2.92,29.17,9.809999999999999,22.01,0.27,0.0,0.0,1.59,6.36,0.0,3.71,11.14,6.63,22.01,3.71,1.33,2.92,2.12,1.8599999999999999,1.06,0.53,0.0,6.1,3.18,0.0,0.0,0.53,2.39,16.97,0.0,4.51,2.92,251.15,12.73
a,1.33,704.9200000000001,1091.0500000000002,0.53,635.43,1110.15,446.07,164.16,580.53,830.62,485.33000000000004,670.17,177.42,185.91,386.40000000000003,138.44,57.28,318.25,243.99,224.89,0.7999999999999999,0.53,0.0,134.99,104.49,0.27,65.24000000000001,90.97,90.97,9.28,71.87,75.58,24.4,40.309999999999995,16.71,22.01,14.059999999999999,0.0,114.3,27.849999999999998,0.0,11.93,16.71,37.39,24.4,0.27,157.79999999999998,29.17,13.790000000000001,37.660000000000004
to,1.06,97.6,8.219999999999999,1.06,16.439999999999998,24.130000000000003,20.42,33.42,5.57,155.68,42.169999999999995,23.87,6.1,2.65,2.12,33.42,10.87,56.49,144.01,1.33,1.06,0.0,0.0,106.35,7.96,0.0,82.74,48.0,26.259999999999998,12.2,8.219999999999999,13.0,10.34,22.28,11.399999999999999,22.01,0.7999999999999999,0.0,87.78,40.58,0.0,7.6899999999999995,1.8599999999999999,5.83,6.36,1.59,1.59,28.91,11.14,23.07
in,2.92,169.2,13.53,0.7999999999999999,27.05,7.43,15.379999999999999,57.550000000000004,6.63,127.03000000000002,20.16,22.01,73.73,1.8599999999999999,1.59,9.02,6.63,60.47,66.3,2.92,2.12,0.0,0.0,8.49,13.790000000000001,0.0,13.790000000000001,65.77,30.759999999999998,35.269999999999996,17.5,11.93,22.01,16.71,24.93,11.399999999999999,1.59,0.0,17.240000000000002,13.790000000000001,0.0,10.61,4.51,11.67,32.620000000000005,0.53,0.27,21.48,17.77,61.260000000000005
for,0.27,53.31,2.65,0.27,6.36,14.32,1.59,11.93,3.71,32.89,9.809999999999999,9.55,5.3,0.53,2.12,1.06,5.3,5.04,27.32,0.27,0.7999999999999999,0.0,0.0,1.59,1.33,0.0,6.63,32.89,7.96,23.87,0.7999999999999999,2.39,2.12,1.59,1.06,0.53,0.53,0.0,15.12,7.6899999999999995,0.0,1.33,1.59,1.06,1.8599999999999999,0.27,0.27,2.65,8.219999999999999,0.7999999999999999
that,3.18,185.38,97.07000000000001,0.27,39.25,93.35000000000001,29.17,15.379999999999999,27.32,132.34,40.05,5.04,28.64,36.07,7.43,8.75,1.8599999999999999,37.39,20.69,44.82,0.0,0.27,0.0,7.43,5.57,0.0,15.65,48.269999999999996,8.49,6.1,9.55,20.42,2.39,4.24,1.33,1.06,0.27,0.0,15.12,8.75,0.0,1.59,1.8599999999999999,1.06,1.06,0.0,7.16,1.59,14.85,95.21000000000001
with,0.53,35.800000000000004,1.06,0.7999999999999999,5.3,16.439999999999998,2.39,12.459999999999999,1.06,5.57,8.49,8.219999999999999,1.8599999999999999,0.0,0.7999999999999999,1.33,5.83,2.65,29.439999999999998,0.53,0.7999999999999999,0.27,0.0,1.8599999999999999,2.65,0.0,3.18,21.75,5.04,3.71,3.98,1.8599999999999999,3.98,2.92,0.7999999999999999,1.33,0.27,0.0,5.3,9.809999999999999,0.0,0.27,0.27,0.53,0.27,1.06,0.53,0.7999999999999999,5.04,3.45
is,0.0,179.28,39.25,0.27,5.83,24.66,3.71,191.48,5.04,5.57,5.57,58.35,0.7999999999999999,0.7999999999999999,0.53,2.12,174.77,0.53,249.29,1.06,0.27,0.53,0.0,0.7999999999999999,2.12,0.0,0.7999999999999999,49.33,11.399999999999999,1.33,108.47,5.3,118.55,2.12,0.53,0.27,0.0,0.0,9.55,1.33,0.0,0.0,0.27,0.27,133.39999999999998,0.27,0.27,0.0,21.48,4.51
