,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
we,1.7556873296434638e-07,9.656280313039051e-05,8.77843664821732e-07,0.0,7.022749318573855e-07,1.404549863714771e-06,5.267061988930391e-07,0.00015853856586680478,1.7556873296434638e-07,4.564787057073006e-06,1.755687329643464e-06,4.3014339576264865e-05,1.21142425745399e-05,3.5113746592869277e-07,1.7556873296434638e-07,1.7556873296434638e-07,1.93125606260781e-06,2.1068247955721565e-06,8.076161716359933e-06,0.0,1.7556873296434638e-07,0.0,0.0,1.755687329643464e-06,1.0534123977860783e-06,0.0,1.2289811307504248e-06,7.04030619187029e-05,3.86251212521562e-06,2.9846684603938885e-06,0.0,1.7556873296434638e-07,1.3869929904183365e-05,5.267061988930391e-07,4.564787057073006e-06,0.0,1.1236398909718169e-05,0.0,2.282393528536503e-06,7.022749318573855e-07,0.0,0.0,1.7556873296434638e-07,0.0,3.212907813247539e-05,1.7556873296434638e-07,0.0,1.2289811307504248e-06,1.93125606260781e-06,3.1602371933582348e-06
can,8.77843664821732e-07,2.7564291075402383e-05,0.0,5.267061988930391e-07,0.0,0.0,0.0,4.512116437183702e-05,1.7556873296434638e-07,3.5113746592869277e-07,1.7556873296434638e-07,1.0534123977860783e-06,0.0,0.0,0.0,0.0,3.86251212521562e-06,0.0,4.793026409926656e-05,1.7556873296434638e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144905653752123e-06,2.282393528536503e-06,7.022749318573855e-07,1.9136991893113757e-05,0.0,2.036597302386418e-05,8.550197295363669e-05,0.0,7.935706729988457e-05,0.0,0.0,0.00019927051191453315,0.0,0.0,5.302175735523261e-05,1.0534123977860783e-06,0.0,0.00011710434488721904,1.7556873296434638e-07,0.0,0.0,5.442630721894738e-06,0.0
its,0.0,9.91963341248557e-05,0.00011113500796643127,0.0,3.4587040393976236e-05,6.390701879902208e-05,3.5991590257691006e-05,1.4221067370112057e-05,3.546488405879797e-05,7.72502425043124e-06,3.493817785990493e-05,7.900592983395587e-06,1.2289811307504248e-06,2.0541541756828528e-05,1.21142425745399e-05,7.373886784502548e-06,0.0,1.2289811307504248e-06,3.5113746592869277e-07,1.8610285694220715e-05,0.0,0.0,0.0,4.389218324108659e-06,1.5801185966791174e-06,0.0,8.77843664821732e-07,6.671611852645163e-06,2.809099727429542e-06,0.0,0.0,8.954005381181665e-06,1.7556873296434638e-07,0.0,1.7556873296434638e-07,0.0,0.0,0.0,1.7556873296434638e-07,0.0,0.0,0.0,1.2289811307504248e-06,3.5113746592869277e-07,8.77843664821732e-07,0.0,6.847180585609509e-06,0.0,5.267061988930391e-07,2.9846684603938885e-06
you,1.7556873296434638e-07,6.51359999297725e-05,2.721315360947369e-05,1.7556873296434638e-07,7.444114277688286e-05,2.282393528536503e-06,3.090009700172496e-05,0.00010340998371600001,2.1068247955721567e-05,6.3204743867164695e-06,4.915924523001699e-06,3.528931532583362e-05,8.497526675474365e-05,7.900592983395587e-06,5.267061988930391e-07,5.267061988930391e-07,1.755687329643464e-06,8.77843664821732e-07,1.0534123977860783e-05,4.213649591144313e-06,1.7556873296434638e-07,0.0,0.0,2.633530994465196e-05,1.2289811307504248e-06,0.0,2.282393528536503e-06,2.9846684603938885e-05,7.022749318573856e-06,1.755687329643464e-06,0.0,8.427299182288626e-06,1.3869929904183365e-05,5.267061988930391e-07,5.793768187823431e-06,1.7556873296434638e-07,2.4579622615008493e-05,0.0,4.038080858179967e-06,3.5113746592869277e-07,0.0,0.0,0.0,0.0,8.076161716359933e-06,0.0,3.5113746592869277e-07,5.091493255966045e-06,4.389218324108659e-06,5.442630721894738e-06
her,0.0,8.181502956138542e-05,0.0001715306521061664,0.0,7.935706729988457e-05,0.00011411967642682515,7.409000531095417e-05,1.8259148228292022e-05,7.637239883949068e-05,6.671611852645163e-06,5.267061988930392e-05,1.4396636103076404e-05,2.282393528536503e-06,4.038080858179967e-05,2.2472797819436337e-05,3.89762587180849e-05,5.267061988930391e-07,8.076161716359933e-06,8.77843664821732e-07,2.773985980836673e-05,0.0,0.0,0.0,2.9846684603938885e-06,4.740355790037353e-06,0.0,1.2289811307504248e-06,8.778436648217319e-06,9.129574114146011e-06,0.0,0.0,3.792284632029882e-05,1.7556873296434638e-07,0.0,5.267061988930391e-07,0.0,0.0,0.0,0.0,1.93125606260781e-06,0.0,0.0,1.2289811307504248e-06,1.93125606260781e-06,1.5801185966791174e-06,0.0,1.2289811307504246e-05,1.2289811307504248e-06,1.7556873296434638e-07,4.740355790037353e-06
our,3.5113746592869277e-07,5.8288819344163e-05,0.00014976012921858747,0.0,5.512858215080477e-05,9.972304032374874e-05,5.60064258156265e-05,2.4579622615008493e-05,5.8991094276020386e-05,2.563303501279457e-05,2.282393528536503e-05,5.969336920787777e-06,1.5801185966791174e-06,4.1609789712550095e-05,8.954005381181665e-06,3.5113746592869277e-07,1.0534123977860783e-06,3.686943392251274e-06,1.0534123977860783e-06,7.900592983395587e-06,0.0,0.0,0.0,3.511374659286928e-06,3.686943392251274e-06,0.0,8.77843664821732e-07,5.442630721894738e-06,1.0534123977860783e-06,0.0,0.0,1.4221067370112057e-05,3.5113746592869277e-07,0.0,0.0,0.0,0.0,0.0,3.5113746592869277e-07,1.7556873296434638e-07,0.0,0.0,3.5113746592869277e-07,3.5113746592869277e-07,2.809099727429542e-06,0.0,9.656280313039052e-06,5.267061988930391e-07,0.0,1.7556873296434638e-07
they,0.0,0.0001555538974064109,1.7556873296434638e-07,0.0,1.0534123977860783e-06,8.77843664821732e-07,3.5113746592869277e-07,0.00013501235564958238,1.7556873296434638e-07,3.511374659286928e-06,1.0534123977860783e-06,9.638723439742616e-05,1.316765497232598e-05,7.022749318573855e-07,1.7556873296434638e-07,1.7556873296434638e-07,8.77843664821732e-07,3.5113746592869277e-07,3.511374659286928e-06,0.0,0.0,0.0,0.0,7.022749318573855e-07,1.404549863714771e-06,0.0,1.5801185966791174e-06,6.0922350338628195e-05,3.86251212521562e-06,1.0534123977860783e-06,0.0,0.0,7.900592983395587e-06,0.0,2.809099727429542e-06,0.0,3.511374659286928e-06,0.0,1.0534123977860783e-06,8.77843664821732e-07,0.0,1.7556873296434638e-07,0.0,3.5113746592869277e-07,2.036597302386418e-05,0.0,1.7556873296434638e-07,2.9846684603938885e-06,2.1068247955721565e-06,3.388476546211885e-05
also,0.0,2.282393528536503e-05,1.7556873296434638e-07,0.0,1.93125606260781e-06,1.7556873296434638e-07,0.0,5.793768187823431e-06,0.0,0.00010218100258524959,0.0,1.7556873296434638e-07,3.3182490530261465e-05,0.0,0.0,2.826656600725977e-05,8.77843664821732e-07,4.84569702981596e-05,3.054895953579627e-05,0.0,0.0,0.0,0.0,1.5801185966791174e-05,0.0,0.0,5.267061988930391e-07,7.725024250431241e-05,0.0,0.0,3.107566573468931e-05,3.5113746592869277e-07,7.5494555174668945e-06,1.9312560626078104e-05,3.950296491697794e-05,1.316765497232598e-05,0.00013869929904183364,0.0,4.740355790037353e-06,0.0,0.0,1.6854598364577252e-05,0.0,0.0,4.038080858179967e-06,0.0,0.0,1.3694361171219019e-05,0.0,1.7556873296434638e-07
been,0.0,2.1068247955721565e-06,5.267061988930391e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044418889439979634,1.7556873296434638e-07,1.7556873296434638e-07,3.5113746592869277e-07,0.0,0.0,0.0,0.0,0.00038853360605009855,0.0,0.0,2.563303501279457e-05,0.0,1.2289811307504248e-06,0.0,8.77843664821732e-07,0.0,0.0,1.0534123977860783e-06,0.0,0.0,0.0,0.0,5.091493255966045e-06,0.0,0.0,0.0,1.2816517506397285e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
which,1.7556873296434638e-07,1.0885261443789476e-05,8.462412928881496e-05,5.267061988930391e-07,1.8610285694220715e-05,0.00014291294863297795,4.406775197405094e-05,2.1068247955721565e-06,1.0885261443789476e-05,7.022749318573855e-07,0.00010920375190382346,0.0,0.0,8.25173044932428e-06,8.25173044932428e-06,0.0,3.5113746592869277e-07,3.5113746592869277e-07,1.2289811307504248e-06,1.4221067370112057e-05,0.0,0.0,0.0,0.0,3.5113746592869277e-07,0.0,0.0,2.633530994465196e-06,0.0,1.7556873296434638e-07,0.0,2.4579622615008495e-06,0.0,0.0,1.7556873296434638e-07,0.0,0.0,0.0,4.213649591144313e-06,5.267061988930391e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.93125606260781e-06,0.0,1.0534123977860783e-06,3.5113746592869277e-07
these,0.0,7.198318051538202e-06,0.0001306231373254737,0.0,1.5098911034933789e-05,0.00014642432329226487,1.1587536375646861e-05,1.597675469975552e-05,8.954005381181665e-06,1.7556873296434638e-07,8.778436648217319e-06,3.1602371933582348e-06,4.564787057073006e-06,7.373886784502548e-06,1.93125606260781e-06,7.022749318573855e-07,0.0,0.0,3.5113746592869277e-07,2.9846684603938885e-06,0.0,0.0,0.0,1.5801185966791174e-06,0.0,0.0,0.0,6.847180585609509e-06,3.5113746592869277e-07,0.0,0.0,5.442630721894738e-06,3.5113746592869277e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7556873296434638e-07,1.2289811307504248e-06,0.0,2.1068247955721565e-06,1.404549863714771e-06,0.0,3.5113746592869277e-07
into,0.0,8.778436648217319e-06,0.0,0.0,1.7556873296434638e-07,0.0,0.0,1.755687329643464e-06,0.0,1.7556873296434638e-07,1.7556873296434638e-07,0.0,5.267061988930391e-07,0.0,0.0,0.0,8.77843664821732e-07,8.77843664821732e-07,2.141938542165026e-05,0.0,0.0,0.0,0.0,0.0,1.7556873296434638e-07,0.0,5.267061988930391e-07,1.7556873296434638e-07,8.77843664821732e-07,1.0534123977860783e-06,0.0,1.7556873296434638e-07,0.0,0.0,0.0,0.0,1.7556873296434638e-07,0.0,2.4579622615008495e-06,5.442630721894738e-06,0.0,0.0,1.7556873296434638e-07,1.7556873296434638e-07,0.0,0.0,0.0,1.7556873296434638e-07,7.022749318573855e-07,0.0
were,0.0,1.6679029631612906e-05,0.0,1.7556873296434638e-07,5.267061988930391e-07,1.7556873296434638e-07,0.0,7.303659291316809e-05,3.5113746592869277e-07,0.0,1.7556873296434638e-07,1.0534123977860783e-06,0.0,0.0,0.0,0.0,7.022749318573855e-07,1.7556873296434638e-07,8.25173044932428e-06,0.0,0.0,0.0,1.7556873296434638e-07,0.0,5.267061988930391e-07,0.0,0.0,3.686943392251274e-06,2.809099727429542e-06,2.809099727429542e-06,6.144905653752123e-06,0.0,4.793026409926656e-05,1.1060830176753822e-05,0.0,9.305142847110358e-05,0.0,0.0,5.916666300898473e-05,7.022749318573855e-07,0.0,0.0001673170025150221,8.77843664821732e-07,1.7556873296434638e-07,1.2816517506397285e-05,6.671611852645163e-06,0.0,0.0,5.267061988930391e-07,3.1602371933582348e-06
one,5.091493255966045e-05,3.7045002655477084e-05,3.353362799619016e-05,1.0534123977860783e-06,3.0197822069867578e-05,5.389960102005434e-05,2.141938542165026e-05,2.282393528536503e-05,4.12586522466214e-05,0.00010042531525560613,2.089267922275722e-05,2.7037584876509345e-05,4.740355790037353e-06,1.5801185966791174e-05,1.0885261443789476e-05,4.915924523001699e-06,3.2655784331368426e-05,4.1609789712550095e-05,3.86251212521562e-06,4.318990830922921e-05,4.389218324108659e-06,7.022749318573855e-07,0.0,8.427299182288626e-06,1.4747773569005096e-05,0.0,9.305142847110358e-06,1.2816517506397285e-05,2.282393528536503e-06,3.5113746592869277e-07,0.0,1.1763105108611208e-05,0.0,0.0,5.267061988930391e-07,0.0,1.7556873296434638e-07,3.5113746592869277e-07,1.93125606260781e-06,7.022749318573855e-07,1.7556873296434638e-07,0.0,2.633530994465196e-06,5.442630721894738e-06,3.686943392251274e-06,0.0,8.427299182288626e-06,2.633530994465196e-06,3.5113746592869277e-07,3.511374659286928e-06
said,3.5113746592869277e-07,2.5984172478723263e-05,5.267061988930391e-07,1.7556873296434638e-07,5.267061988930391e-07,3.5113746592869277e-07,3.5113746592869277e-07,5.793768187823431e-06,1.7556873296434638e-07,9.831849046003398e-06,0.0,0.0,7.022749318573855e-07,0.0,0.0,2.8442134740224115e-05,0.0,3.511374659286928e-06,7.373886784502548e-06,0.0,0.0,0.0,0.0,1.4396636103076404e-05,3.3358059263225815e-06,0.0,8.77843664821732e-07,6.144905653752123e-06,3.5113746592869277e-07,3.5113746592869277e-07,0.00020611769250014264,0.0,1.1587536375646861e-05,3.40603341950832e-05,0.0,3.686943392251274e-06,0.0,0.0,9.831849046003398e-06,1.7556873296434638e-07,0.0,1.70301670975416e-05,1.0007417778967744e-05,7.022749318573855e-07,7.022749318573855e-07,0.0,0.0,7.022749318573855e-07,5.267061988930391e-07,0.0
