,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
he,2.544322090822121e-07,0.0001111868753689267,4.070915345315394e-06,2.544322090822121e-07,4.325347554397606e-06,1.933684789024812e-05,2.798754299904333e-06,0.0002205927252742779,3.3076187180687577e-06,7.1241018543019396e-06,6.360805227055303e-06,6.844226424311507e-05,2.544322090822121e-07,5.088644181644242e-07,5.088644181644242e-07,6.8696696452197275e-06,1.2721610454110605e-06,6.360805227055303e-06,9.413991736041848e-06,7.632966272466364e-07,0.0,2.544322090822121e-07,0.0,0.0,1.7810254635754849e-06,0.0,1.0177288363288485e-06,7.276761179751266e-05,3.3076187180687577e-06,1.0177288363288485e-06,1.577479696309715e-05,2.798754299904333e-06,8.905127317877424e-06,2.544322090822121e-07,1.0177288363288485e-06,0.0,1.2721610454110605e-06,0.0,5.088644181644242e-07,3.5620509271509698e-06,0.0,2.544322090822121e-07,1.2721610454110605e-06,0.0,2.3407763235563514e-05,0.0,2.544322090822121e-07,7.632966272466364e-07,1.0177288363288485e-06,7.149545075210161e-05
about,1.5265932544932728e-06,1.2467178245028395e-05,1.2212746035946183e-05,0.0,1.1958313826863969e-05,7.887398481548576e-06,3.3585051598852e-05,6.106373017973091e-06,8.905127317877424e-06,3.3076187180687575e-05,2.544322090822121e-06,1.5265932544932728e-06,1.4502635917686091e-05,4.070915345315394e-06,5.343076390726454e-06,3.816483136233182e-06,2.289889881739909e-06,1.7555822426672636e-05,9.159559526959636e-06,5.343076390726454e-06,2.544322090822121e-07,0.0,0.0,2.798754299904333e-06,2.798754299904333e-06,0.0,4.070915345315394e-06,3.3076187180687577e-06,1.933684789024812e-05,0.00014858841010401187,2.289889881739909e-06,5.088644181644242e-07,5.088644181644242e-07,1.7810254635754849e-06,2.544322090822121e-07,1.0177288363288485e-06,2.544322090822121e-07,0.0,7.1241018543019396e-06,2.035457672657697e-06,0.0,5.088644181644242e-07,2.289889881739909e-06,7.632966272466364e-07,1.7810254635754849e-06,0.0,2.544322090822121e-07,3.5620509271509698e-06,2.798754299904333e-06,6.6152374361375154e-06
who,3.5620509271509698e-06,2.4679924280974577e-05,2.0863441144741393e-05,5.088644181644242e-07,3.5620509271509698e-06,1.5265932544932728e-06,1.7810254635754849e-06,1.5265932544932728e-06,1.5265932544932728e-06,4.579779763479818e-06,2.544322090822121e-06,7.632966272466364e-07,2.798754299904333e-06,0.0,0.0,0.0,1.5265932544932728e-06,1.2721610454110605e-06,1.5265932544932728e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2721610454110605e-06,7.378534063384152e-06,3.0531865089865456e-06,7.632966272466364e-07,2.544322090822121e-07,4.579779763479818e-06,2.544322090822121e-06,2.544322090822121e-07,2.544322090822121e-07,2.544322090822121e-07,0.0,0.0,7.632966272466364e-07,5.088644181644242e-07,0.0,0.0,2.544322090822121e-07,0.0,0.0,0.0,7.632966272466364e-07,0.0,6.8696696452197275e-06,0.0
i,3.3076187180687577e-06,0.00029641352358077713,1.3993771499521667e-05,2.544322090822121e-07,1.2467178245028395e-05,8.141830690630788e-06,6.360805227055303e-06,0.00019896598750228988,6.6152374361375154e-06,1.4757068126768303e-05,1.0431720572370696e-05,6.106373017973091e-05,1.0177288363288485e-06,2.289889881739909e-06,2.798754299904333e-06,2.544322090822121e-07,7.887398481548576e-06,7.887398481548576e-06,3.078629729894767e-05,1.5265932544932728e-06,1.0177288363288485e-06,2.544322090822121e-07,0.0,4.83421197256203e-06,1.5265932544932728e-06,0.0,3.816483136233182e-06,0.00015393148649473832,5.343076390726454e-06,4.070915345315394e-06,2.798754299904333e-06,7.632966272466364e-06,1.094058499053512e-05,6.360805227055303e-06,4.070915345315394e-06,5.088644181644242e-07,1.1449449408699545e-05,0.0,9.413991736041848e-06,5.343076390726454e-06,0.0,1.2721610454110605e-06,5.088644181644242e-07,5.088644181644242e-07,1.3739339290439455e-05,0.0,1.0177288363288485e-06,1.0177288363288485e-06,4.83421197256203e-06,5.088644181644242e-06
will,1.2721610454110605e-06,0.00010228174805104928,5.343076390726454e-06,0.0,1.5265932544932728e-06,1.5265932544932728e-06,1.0177288363288485e-06,0.0001050805023509536,7.632966272466364e-07,2.544322090822121e-06,7.632966272466364e-07,1.5265932544932728e-06,5.088644181644242e-07,7.632966272466364e-07,4.706995868020924e-05,2.544322090822121e-06,7.887398481548576e-06,5.088644181644242e-07,6.157259459789533e-05,1.5265932544932728e-06,0.0,5.088644181644242e-07,5.088644181644242e-07,7.632966272466364e-07,0.0,0.0,5.088644181644242e-07,1.1195017199617333e-05,4.070915345315394e-06,5.088644181644242e-07,2.7733110789961122e-05,1.0177288363288485e-06,1.9591280099330333e-05,3.104072950802988e-05,2.544322090822121e-07,7.938284923365018e-05,2.544322090822121e-07,0.0,1.806468684483706e-05,7.632966272466364e-07,0.0,4.706995868020924e-05,0.0,0.0,1.6538093590343788e-05,2.544322090822121e-07,0.0,0.0,6.360805227055303e-06,3.5620509271509698e-06
we,1.0177288363288485e-06,0.00010100958700563821,3.5620509271509698e-06,0.0,4.070915345315394e-06,7.378534063384152e-06,1.5265932544932728e-06,0.00015825683404913595,3.5620509271509698e-06,1.0431720572370696e-05,3.3076187180687577e-06,4.249017891672942e-05,1.5265932544932727e-05,2.289889881739909e-06,0.0,2.544322090822121e-07,2.544322090822121e-06,2.035457672657697e-06,1.2212746035946183e-05,5.088644181644242e-07,2.544322090822121e-07,0.0,0.0,1.7810254635754849e-06,0.0,0.0,2.544322090822121e-06,7.302204400659488e-05,5.597508599808666e-06,2.289889881739909e-06,2.544322090822121e-07,7.632966272466364e-07,9.413991736041848e-06,5.088644181644242e-07,4.83421197256203e-06,1.0177288363288485e-06,1.2721610454110607e-05,0.0,1.7810254635754849e-06,5.088644181644242e-07,0.0,7.632966272466364e-07,2.544322090822121e-07,0.0,2.9005271835372182e-05,2.544322090822121e-07,1.0177288363288485e-06,7.632966272466364e-07,2.544322090822121e-07,2.289889881739909e-06
can,1.0177288363288485e-06,3.15495939261943e-05,4.070915345315394e-06,0.0,2.544322090822121e-06,1.0177288363288485e-06,1.5011500335850515e-05,8.345376457896557e-05,1.0177288363288485e-06,4.070915345315394e-06,2.798754299904333e-06,1.2467178245028395e-05,7.632966272466364e-07,0.0,0.0,2.544322090822121e-07,3.5620509271509698e-06,0.0,4.2744611125811634e-05,7.632966272466364e-07,0.0,0.0,0.0,0.0,1.2721610454110605e-06,0.0,0.0,2.6460949744550062e-05,7.1241018543019396e-06,1.2721610454110605e-06,1.552036475401494e-05,2.544322090822121e-07,1.8573551263001484e-05,6.411691668871745e-05,5.088644181644242e-07,6.411691668871745e-05,2.544322090822121e-07,0.0,0.00016538093590343788,0.0,0.0,3.943699240774288e-05,0.0,0.0,0.00011373119745974881,2.544322090822121e-07,0.0,0.0,5.851940808890878e-06,1.0177288363288485e-06
its,0.0,0.00010380834130554255,0.00011271346862341997,0.0,3.6892670316920756e-05,6.386248447963524e-05,3.587494148059191e-05,1.577479696309715e-05,3.511164485334527e-05,8.396262899713e-06,3.485721264426306e-05,1.0177288363288484e-05,1.5265932544932728e-06,1.806468684483706e-05,1.3230474872275031e-05,6.8696696452197275e-06,0.0,2.798754299904333e-06,2.544322090822121e-06,1.4757068126768303e-05,0.0,0.0,0.0,3.816483136233182e-06,5.088644181644242e-07,0.0,1.0177288363288485e-06,9.922856154206272e-06,6.106373017973091e-06,2.544322090822121e-07,5.088644181644242e-07,1.0177288363288484e-05,2.544322090822121e-07,0.0,7.632966272466364e-07,0.0,2.544322090822121e-07,0.0,0.0,5.088644181644242e-07,0.0,2.544322090822121e-07,0.0,0.0,1.0177288363288485e-06,0.0,8.396262899713e-06,0.0,7.887398481548576e-06,3.5620509271509698e-06
you,2.289889881739909e-06,6.742453540678622e-05,4.223574670764721e-05,0.0,6.767896761586842e-05,7.632966272466364e-06,2.9514136253536607e-05,9.592094282399397e-05,2.0863441144741393e-05,2.5188788699139e-05,6.6152374361375154e-06,3.6638238107838544e-05,9.43943495695007e-05,7.378534063384152e-06,7.632966272466364e-07,7.632966272466364e-07,2.544322090822121e-06,6.106373017973091e-06,1.1958313826863969e-05,3.816483136233182e-06,2.544322090822121e-07,0.0,0.0,2.9259704044454394e-05,1.2721610454110605e-06,0.0,1.5265932544932728e-06,3.0531865089865455e-05,8.650695108795212e-06,1.5265932544932728e-06,2.544322090822121e-07,1.2212746035946183e-05,5.343076390726454e-06,2.544322090822121e-07,5.343076390726454e-06,1.2721610454110605e-06,2.3916627653727938e-05,0.0,8.905127317877424e-06,1.2721610454110605e-06,0.0,0.0,0.0,0.0,6.8696696452197275e-06,2.544322090822121e-07,1.2721610454110605e-06,4.83421197256203e-06,3.5620509271509698e-06,3.816483136233182e-06
her,5.088644181644242e-07,8.981456980602088e-05,0.00015596694416739602,2.544322090822121e-07,7.403977284292373e-05,0.00010864255327810457,7.327647621567709e-05,1.5011500335850515e-05,6.971442528852612e-05,8.905127317877424e-06,5.495735716175782e-05,1.5011500335850515e-05,2.798754299904333e-06,4.1472450080400574e-05,2.31533310264813e-05,3.9182560198660665e-05,7.632966272466364e-07,1.0431720572370696e-05,5.343076390726454e-06,2.7224246371796698e-05,0.0,3.0531865089865456e-06,0.0,2.798754299904333e-06,2.289889881739909e-06,0.0,1.5265932544932728e-06,1.3230474872275031e-05,3.5620509271509698e-06,1.2721610454110605e-06,5.088644181644242e-07,3.816483136233182e-05,2.035457672657697e-06,0.0,5.088644181644242e-07,2.544322090822121e-07,0.0,0.0,5.088644181644242e-07,7.887398481548576e-06,0.0,0.0,7.632966272466364e-07,1.5265932544932728e-06,1.7810254635754849e-06,0.0,1.0686152781452909e-05,1.0177288363288485e-06,7.887398481548576e-06,9.413991736041848e-06
