,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
are,0.0,5.3879765272090174e-05,0.0,0.0,2.110862498416853e-07,2.638578123021066e-07,1.5831468738126398e-07,0.00018443661079917253,3.1662937476252797e-07,1.0554312492084265e-07,5.2771562460421326e-08,1.5831468738126398e-07,0.0,0.0,5.2771562460421326e-08,0.0,8.971165618271625e-07,0.0,8.971165618271625e-07,0.0,2.110862498416853e-07,5.2771562460421326e-08,0.0,5.2771562460421326e-08,0.0,0.0,0.0,1.2665174990501119e-05,5.857643433106767e-06,1.0554312492084265e-06,0.0,0.0,0.0001734601258074049,5.277156246042132e-07,1.5831468738126398e-07,0.00013425085489931186,0.0,0.0,3.752058090935956e-05,3.1662937476252797e-07,0.0,0.0002917211972812091,5.2771562460421326e-08,0.0,5.7468231519398826e-05,1.4512179676615865e-05,0.0,0.0,7.915734369063199e-07,1.5831468738126398e-07
from,0.0,1.6253641237809767e-05,2.110862498416853e-07,5.2771562460421326e-08,1.0554312492084265e-07,1.3826149364630388e-05,2.638578123021066e-07,8.443449993667412e-07,2.110862498416853e-07,1.160974374129269e-06,1.8997762485751678e-06,6.332587495250559e-07,8.443449993667412e-07,0.0,1.0554312492084265e-07,5.2771562460421326e-08,5.804871870646345e-07,8.443449993667412e-07,7.440790306919407e-06,0.0,4.221724996833706e-07,0.0,0.0,5.2771562460421326e-08,9.498881242875839e-07,0.0,2.00531937349601e-06,1.794233123654325e-06,1.002659686748005e-06,2.7968928104023303e-06,0.0,1.0554312492084265e-07,5.2771562460421326e-08,0.0,0.0,0.0,0.0,0.0,1.477603748891797e-06,2.2164056233376958e-06,0.0,0.0,1.794233123654325e-06,5.2771562460421326e-08,0.0,0.0,0.0,5.277156246042132e-07,1.160974374129269e-06,0.0
by,0.0,9.446109680415418e-06,2.110862498416853e-07,0.0,6.860303119854772e-07,1.8997762485751678e-06,5.804871870646345e-07,2.2269599358297798e-05,5.2771562460421326e-08,4.8022121838983405e-06,2.2164056233376958e-06,1.319289061510533e-06,2.638578123021066e-07,1.0554312492084265e-07,0.0,0.0,1.3720606239709545e-06,1.1082028116688479e-06,2.4802634356398023e-06,1.0554312492084265e-07,1.0554312492084265e-07,0.0,0.0,2.110862498416853e-07,6.860303119854772e-07,0.0,1.952547811035589e-06,8.81285093089036e-06,5.329927808502554e-06,5.277156246042132e-07,0.0,1.2665174990501119e-06,1.5831468738126398e-07,5.2771562460421326e-08,5.2771562460421326e-08,0.0,2.638578123021066e-07,0.0,8.971165618271625e-07,8.971165618271625e-07,0.0,0.0,4.4328112466753915e-06,3.6940093722294926e-07,0.0,0.0,0.0,0.0,2.269177185798117e-06,5.2771562460421326e-08
has,0.0,0.00011319500147760374,0.0,5.277156246042132e-07,1.0554312492084265e-07,0.0,1.0554312492084265e-07,0.0003235952210073036,1.0554312492084265e-07,4.7494406214379195e-07,5.2771562460421326e-08,2.638578123021066e-07,0.0,5.2771562460421326e-08,5.2771562460421326e-08,0.0,4.38003968421497e-05,0.0,0.0001022185164858361,5.2771562460421326e-08,1.002659686748005e-06,0.0,0.0,0.0,1.5831468738126398e-07,0.0,5.2771562460421326e-08,3.4037657786971755e-05,1.635918436273061e-06,1.0554312492084265e-07,0.00011451429053911427,0.0,0.00018401443829948915,1.0554312492084265e-07,5.2771562460421326e-08,0.0,0.0,0.0,0.0,1.0554312492084265e-07,0.0,0.0,8.601764681048675e-06,0.0,0.0001766791911174906,0.0,0.0,5.2771562460421326e-08,1.8470046861147464e-06,5.2771562460421326e-08
this,0.0,3.715117997213661e-05,0.0004157343690631992,2.110862498416853e-07,8.950056993287457e-05,0.00024533499387849875,5.2243846835817115e-05,0.00011182294085363278,3.947312872039515e-05,9.709967492717524e-06,0.00012274665428294,9.97382530501963e-06,2.110862498416853e-07,4.416979777937265e-05,1.9367163422974625e-05,1.3720606239709545e-06,5.2771562460421326e-08,2.8496643728627517e-06,4.4328112466753915e-06,1.6253641237809767e-05,8.971165618271625e-07,5.2771562460421326e-08,0.0,1.477603748891797e-06,1.6886899987334824e-06,0.0,1.319289061510533e-06,1.8153417486384937e-05,5.2771562460421326e-08,8.443449993667412e-07,5.2771562460421326e-08,1.6411955925191034e-05,5.2771562460421326e-08,5.2771562460421326e-08,1.952547811035589e-06,0.0,4.221724996833706e-07,1.5831468738126398e-07,1.7414615611939038e-06,7.915734369063199e-07,0.0,5.2771562460421326e-08,0.0,5.2771562460421326e-08,1.477603748891797e-06,0.0,1.6939671549795246e-05,1.0554312492084265e-07,1.1082028116688479e-06,4.7494406214379195e-07
was,0.0,2.9182674040612993e-05,0.0,2.110862498416853e-07,1.5831468738126398e-07,3.6940093722294926e-07,1.5831468738126398e-07,0.00011330054460252459,5.2771562460421326e-08,5.2771562460421326e-08,2.110862498416853e-07,8.971165618271625e-07,0.0,0.0,1.0554312492084265e-07,0.0,2.2850086545362432e-05,1.0554312492084265e-07,0.00029235445603073416,0.0,2.110862498416853e-07,5.2771562460421326e-08,0.0,5.2771562460421326e-08,0.0,0.0,0.0,4.749440621437919e-06,1.002659686748005e-06,2.110862498416853e-07,0.00012760163802929877,1.5831468738126398e-07,8.527884493604086e-05,4.580571621564571e-05,2.110862498416853e-07,0.0,0.0,0.0,5.2771562460421326e-08,1.5831468738126398e-07,0.0,5.2771562460421326e-08,5.2771562460421326e-08,0.0,0.00012728500865453625,1.1082028116688479e-06,5.2771562460421326e-08,0.0,2.3747203107189595e-06,8.971165618271625e-07
it,5.2771562460421326e-08,8.68619918098535e-05,1.5409296238443028e-05,5.2771562460421326e-08,7.1769324946173e-06,7.440790306919407e-06,6.385359057710981e-06,0.00021456917296407312,2.596360873052729e-05,1.5462067800903447e-05,8.126820618904883e-06,0.00013224553552581585,2.110862498416853e-07,3.4829231223878076e-06,1.002659686748005e-06,2.0580909359564316e-06,3.1662937476252797e-07,4.643897496517076e-06,1.952547811035589e-06,6.860303119854772e-07,2.110862498416853e-07,0.0,5.2771562460421326e-08,5.435470933423396e-06,2.321948748258538e-06,5.2771562460421326e-08,9.498881242875839e-07,9.936885211297335e-05,8.971165618271625e-07,6.332587495250559e-07,0.0,4.063410309452442e-06,3.1662937476252797e-07,1.0554312492084265e-07,6.5964453075526655e-06,0.0,8.971165618271625e-07,5.2771562460421326e-08,2.638578123021066e-07,7.915734369063199e-07,0.0,0.0,0.0,1.0554312492084265e-07,8.496221556127834e-06,1.0554312492084265e-07,9.498881242875839e-07,0.0,4.221724996833706e-06,1.002659686748005e-06
at,1.0554312492084265e-07,1.0237683117321738e-05,5.910414995567188e-06,0.0,1.5303753113522184e-06,2.8496643728627517e-06,8.496221556127834e-06,7.071389369696457e-06,1.8470046861147464e-06,1.9419934985435047e-05,1.5831468738126398e-07,3.6940093722294926e-07,2.353611685734791e-05,5.2771562460421326e-08,1.477603748891797e-06,6.332587495250559e-07,5.2771562460421326e-08,8.126820618904883e-06,2.902435935323173e-06,0.0,1.5831468738126398e-07,0.0,0.0,9.498881242875839e-07,1.1398657491451007e-05,0.0,1.5831468738126398e-06,4.643897496517076e-06,4.485582809135813e-06,1.2137459365896905e-06,5.2771562460421326e-08,0.0,4.221724996833706e-07,0.0,0.0,1.002659686748005e-06,2.638578123021066e-07,0.0,4.7494406214379195e-07,1.160974374129269e-06,0.0,0.0,1.8470046861147464e-06,2.6860725292354455e-05,3.1662937476252797e-07,1.0554312492084265e-07,0.0,4.38003968421497e-06,5.804871870646345e-07,5.804871870646345e-07
new,0.0006527314560729514,5.0977329336767e-05,0.00032079832819690126,0.0005600645923924515,5.725714526955714e-05,0.00020707561109469327,3.546248997340313e-05,8.285135306286149e-06,3.8417697471186724e-05,1.1082028116688479e-06,1.5725925613205555e-05,2.6966268417275296e-05,2.321948748258538e-06,1.9208848735593362e-05,5.118841558660869e-06,5.2771562460421326e-08,5.303542027272343e-05,1.5831468738126398e-07,4.7494406214379195e-07,6.913074682315194e-06,1.5831468738126398e-07,1.3667834677249123e-05,2.0211508422341368e-05,2.110862498416853e-07,3.6940093722294926e-07,0.0,5.277156246042132e-06,7.915734369063199e-07,1.8997762485751678e-06,4.7494406214379195e-07,0.0,1.794233123654325e-06,0.0,0.0,1.5831468738126398e-07,0.0,5.2771562460421326e-08,8.126820618904883e-06,1.5831468738126398e-07,9.287794993034153e-06,2.8496643728627517e-06,0.0,2.110862498416853e-07,5.2771562460421326e-08,8.971165618271625e-07,1.3456748427407439e-05,4.696669058977498e-06,1.0554312492084265e-07,6.860303119854772e-07,4.221724996833706e-07
his,0.0,0.0002771562460421328,0.000305863976020602,0.0,0.00017762907924177818,0.00016053109300460169,0.0002978954700890784,7.023894963482079e-05,0.0001254380039684215,1.0976484991767636e-05,9.308903618018321e-05,1.762570186178072e-05,4.7494406214379195e-07,6.939460463545404e-05,4.6386203402710344e-05,5.804871870646345e-07,2.638578123021066e-07,8.707307805969518e-06,1.5303753113522184e-06,1.393169248955123e-05,0.0,0.0,0.0,5.804871870646345e-07,2.0580909359564316e-06,0.0,1.6886899987334824e-06,1.9683792797737155e-05,3.1662937476252797e-06,1.5831468738126398e-07,0.0,6.015958120488031e-05,0.0,1.0554312492084265e-07,1.002659686748005e-06,0.0,5.2771562460421326e-08,0.0,0.0,2.638578123021066e-07,0.0,0.0,2.744121247941909e-06,1.477603748891797e-06,7.915734369063199e-07,0.0,3.261282560054038e-05,1.5831468738126398e-07,2.110862498416853e-07,9.12948030565289e-06
