,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
our,0.0002,0.0474,0.1034,0.0,0.0446,0.0716,0.0402,0.0178,0.0414,0.0178,0.0166,0.0036,0.0014,0.0324,0.0068,0.0006,0.0032,0.0008,0.0046,0.004,0.0,0.0,0.0,0.0016,0.0018,0.0,0.0012,0.005,0.001,0.002,0.0,0.0094,0.0004,0.0,0.0002,0.0014,0.0002,0.0,0.001,0.0004,0.0,0.0002,0.0,0.001,0.0008,0.0,0.0062,0.0002,0.004,0.0002
they,0.0014,0.12,0.0022,0.0,0.0022,0.0062,0.0004,0.0854,0.0002,0.0056,0.0018,0.0714,0.0086,0.0006,0.0002,0.0,0.0008,0.0008,0.0044,0.001,0.0,0.0,0.0,0.0024,0.001,0.0,0.0006,0.0456,0.0054,0.0002,0.0012,0.0032,0.0052,0.0004,0.0014,0.0,0.0028,0.0,0.0016,0.0014,0.0,0.002,0.0,0.0,0.0068,0.0,0.0002,0.0016,0.0004,0.0212
also,0.0,0.0222,0.0008,0.0,0.0012,0.0,0.0002,0.0092,0.0002,0.0608,0.0004,0.0002,0.0164,0.0002,0.0,0.015,0.0026,0.0234,0.0304,0.0002,0.0,0.0,0.0,0.011,0.0004,0.0,0.0004,0.0782,0.0002,0.0004,0.0278,0.0004,0.0116,0.0104,0.0098,0.0274,0.0858,0.0,0.0172,0.0002,0.0,0.0158,0.0,0.0,0.0064,0.0,0.0,0.0092,0.0,0.0012
been,0.0,0.01,0.0028,0.0,0.009,0.0,0.0006,0.0422,0.0002,0.0006,0.0,0.002,0.0002,0.0,0.0,0.2914,0.0034,0.0006,0.0108,0.0,0.0,0.0,0.0,0.2196,0.0002,0.0,0.0078,0.0048,0.0016,0.0,0.0096,0.0,0.0178,0.0028,0.0004,0.003,0.0,0.0,0.0054,0.0,0.0,0.0042,0.003,0.0,0.007,0.0002,0.0,0.0004,0.0002,0.0002
which,0.0,0.0096,0.0612,0.0002,0.0138,0.1052,0.0308,0.001,0.008,0.0008,0.0858,0.0002,0.0,0.0064,0.0054,0.0,0.0004,0.003,0.0008,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0024,0.0,0.0002,0.0004,0.0018,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0,0.0024,0.0006
these,0.0,0.0064,0.0816,0.0,0.0108,0.1144,0.0078,0.0104,0.006,0.0018,0.0072,0.0018,0.0042,0.0052,0.0018,0.0006,0.0,0.0002,0.001,0.0026,0.0,0.0,0.0,0.0002,0.0002,0.0,0.0002,0.0056,0.0006,0.0004,0.0,0.0046,0.0006,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0032,0.0,0.0014,0.001,0.0082,0.0
into,0.0,0.0066,0.0004,0.0,0.0004,0.0,0.0,0.0012,0.0002,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0004,0.0166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0004,0.001,0.0,0.0002,0.0004,0.0,0.0002,0.0,0.0,0.0,0.0024,0.0036,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0002,0.0
were,0.0,0.0284,0.003,0.0004,0.0118,0.0016,0.0,0.0706,0.0006,0.0006,0.0008,0.0072,0.0,0.0002,0.0,0.0002,0.0006,0.0006,0.005,0.0,0.0,0.0,0.0,0.0002,0.0004,0.0,0.0002,0.0092,0.0024,0.0026,0.0052,0.0006,0.0386,0.0034,0.0,0.05,0.0002,0.0,0.0254,0.0002,0.0,0.0962,0.0006,0.0002,0.0072,0.0032,0.0004,0.0002,0.0,0.006
one,0.0212,0.068,0.0264,0.0008,0.0288,0.039,0.015,0.0186,0.0336,0.0462,0.0172,0.0204,0.0026,0.0122,0.0066,0.0044,0.0216,0.027,0.0078,0.0288,0.0012,0.0004,0.0,0.0036,0.006,0.0,0.004,0.0126,0.004,0.0004,0.0032,0.0088,0.0014,0.0032,0.0012,0.0006,0.0,0.0002,0.0038,0.0012,0.0,0.0008,0.0008,0.0032,0.005,0.0002,0.0056,0.0016,0.0018,0.0044
said,0.0,0.0266,0.0006,0.0002,0.0008,0.0022,0.0004,0.0072,0.0008,0.0058,0.001,0.0014,0.0004,0.0002,0.0,0.0202,0.0002,0.001,0.0076,0.0002,0.0,0.0,0.0,0.0096,0.0006,0.0,0.0004,0.0082,0.0004,0.0002,0.142,0.0002,0.0094,0.0198,0.0,0.0014,0.0004,0.0,0.0066,0.0008,0.0,0.0118,0.0054,0.0002,0.0026,0.0,0.0,0.0006,0.0006,0.0006
