,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
on,0.0,3.564243022379759e-05,8.603345226433902e-06,5.794089642292219e-06,1.2290493180619858e-06,9.481237596478177e-06,7.023138960354205e-07,1.404627792070841e-06,1.2290493180619858e-06,1.1588179284584438e-05,1.7557847400885513e-07,2.984834058150537e-06,1.404627792070841e-05,0.0,0.0,1.2817228602646425e-05,5.267354220265654e-07,3.1604125321593925e-06,1.8260161296920933e-05,1.7557847400885513e-07,3.5115694801771026e-07,0.0,0.0,4.3367883080187215e-05,1.87868967189475e-05,0.0,3.8627264281948125e-06,1.8611318244938643e-05,5.969668116301074e-06,2.0015946037009483e-05,0.0,5.267354220265654e-07,0.0,0.0,3.5115694801771026e-07,0.0,0.0,0.0,6.49640353832764e-06,3.5115694801771026e-07,0.0,0.0,1.7557847400885513e-06,6.49640353832764e-06,0.0,1.7557847400885513e-07,0.0,1.0534708440531308e-06,2.1069416881062617e-06,1.7557847400885513e-07
as,1.7557847400885513e-07,1.913805366696521e-05,1.0534708440531308e-06,1.7557847400885513e-07,5.442932694274509e-06,5.267354220265654e-06,3.687147954185958e-06,5.442932694274509e-06,1.7557847400885513e-06,7.725452856389625e-06,1.404627792070841e-06,0.0,8.603345226433902e-06,1.0534708440531308e-06,3.5115694801771026e-07,1.7557847400885513e-07,8.954502174451612e-06,8.778923700442756e-07,6.619308470133839e-05,3.5115694801771026e-07,8.778923700442756e-07,0.0,0.0,2.3878672465204297e-05,3.932957817798355e-05,0.0,4.1787676814107524e-05,1.6855533504850093e-05,5.442932694274509e-06,1.5802062660796963e-06,0.0,5.267354220265654e-07,0.0,1.7557847400885513e-07,1.7557847400885513e-07,1.9313632140974063e-06,0.0,0.0,1.439743486872612e-05,8.778923700442756e-07,0.0,0.0,5.267354220265654e-07,5.267354220265654e-07,0.0,3.5115694801771026e-07,0.0,0.0,2.1069416881062617e-06,1.7557847400885513e-07
are,0.0,8.866712937447184e-05,0.0,0.0,1.7557847400885513e-07,5.267354220265654e-07,0.0,0.0003448361229533915,0.0,1.7557847400885513e-07,8.778923700442756e-07,0.0,0.0,1.7557847400885513e-07,0.0,0.0,1.7557847400885513e-06,0.0,2.4580986361239717e-06,0.0,1.7557847400885513e-07,0.0,0.0,0.0,0.0,0.0,0.0,8.954502174451612e-06,8.252188278416192e-06,3.5115694801771026e-07,0.0,1.7557847400885513e-07,0.0004366636648600227,8.778923700442756e-07,0.0,0.0004652829561234661,0.0,0.0,0.0002904067960106464,0.0,0.0,0.0007758812766451308,1.7557847400885513e-07,0.0,0.00011675968521588867,3.7749371911903855e-05,0.0,0.0,1.7557847400885513e-07,0.0
from,0.0,1.703111197885895e-05,3.5115694801771026e-07,0.0,0.0,1.404627792070841e-06,0.0,1.0534708440531308e-06,0.0,3.1604125321593925e-06,7.023138960354205e-07,8.778923700442756e-07,1.0534708440531308e-06,0.0,0.0,0.0,4.916197272247943e-06,1.7557847400885513e-07,1.0534708440531308e-05,5.267354220265654e-07,8.778923700442756e-07,0.0,0.0,8.778923700442756e-07,1.404627792070841e-06,0.0,1.7557847400885513e-06,1.5802062660796963e-06,3.3359910061682475e-06,7.901031330398482e-06,0.0,3.5115694801771026e-07,0.0,0.0,0.0,0.0,5.267354220265654e-07,0.0,9.481237596478177e-06,5.267354220265654e-07,0.0,0.0,1.0534708440531308e-06,0.0,0.0,0.0,0.0,5.267354220265654e-07,1.404627792070841e-06,0.0
by,0.0,4.3543461554196074e-05,2.1069416881062617e-06,0.0,1.5802062660796963e-06,3.1604125321593925e-06,1.5802062660796963e-06,1.948921061498292e-05,1.2290493180619858e-06,5.776531794891334e-05,1.2290493180619858e-06,3.5115694801771025e-06,2.2825201621151167e-06,5.267354220265654e-07,0.0,1.7557847400885513e-07,1.738226892687666e-05,3.5115694801771026e-07,1.8260161296920933e-05,1.7557847400885513e-07,0.0,0.0,0.0,1.5802062660796963e-06,1.2290493180619858e-06,0.0,1.5626484186788105e-05,1.2114914706611003e-05,2.0015946037009483e-05,6.145246590309929e-06,0.0,2.2825201621151167e-06,0.0,0.0,0.0,0.0,1.7557847400885513e-07,0.0,3.5115694801771025e-06,0.0,0.0,0.0,1.5802062660796963e-06,0.0,0.0,1.7557847400885513e-07,0.0,0.0,2.809255584141682e-06,1.7557847400885513e-07
has,0.0,6.68953985973738e-05,1.7557847400885513e-07,0.0,5.267354220265654e-07,0.0,0.0,0.00013133269855862363,0.0,1.7557847400885513e-07,1.7557847400885513e-07,7.023138960354205e-07,0.0,0.0,0.0,0.0,0.00019945714647405944,1.7557847400885513e-07,0.00028549059873839844,0.0,1.7557847400885513e-07,0.0,0.0,0.0,0.0,0.0,5.267354220265654e-07,3.8627264281948125e-06,4.389461850221378e-06,0.0,1.334396402467299e-05,0.0,6.1803622851117e-05,0.0,0.0,0.0,0.0,0.0,1.7557847400885513e-07,0.0,0.0,0.0,6.1803622851117e-05,0.0,5.12689144105857e-05,0.0,0.0,0.0,8.076609804407337e-06,0.0
this,0.0,6.830002638944465e-05,0.00018874685955951926,1.7557847400885513e-07,0.00010534708440531308,0.0004967115029710511,0.00010499592745729536,0.00017241806147669575,5.741416100089563e-05,1.0359129966522453e-05,9.024733564055154e-05,2.3176358569168877e-05,2.2825201621151167e-06,1.5099748764761542e-05,5.267354220265654e-06,8.778923700442756e-07,1.7557847400885513e-07,5.091775746256799e-06,2.5107721783266285e-05,1.3870699446699555e-05,5.267354220265654e-07,0.0,0.0,5.794089642292219e-06,2.633677110132827e-06,0.0,6.49640353832764e-06,2.4580986361239717e-05,0.0,4.038304902203668e-06,0.0,3.9505156651992405e-05,1.7557847400885513e-07,0.0,1.0534708440531308e-06,0.0,3.5115694801771026e-07,0.0,7.374295908371916e-06,7.023138960354205e-07,0.0,0.0,1.0534708440531308e-06,0.0,1.0534708440531308e-06,0.0,4.740618798239088e-06,0.0,3.1604125321593925e-06,1.404627792070841e-06
was,0.0,2.4580986361239717e-05,1.7557847400885513e-07,0.0,0.0,0.0,0.0,4.898639424847058e-05,0.0,0.0,1.7557847400885513e-07,3.3359910061682475e-06,0.0,0.0,0.0,0.0,2.844371278943453e-05,0.0,0.00028268134315425676,1.7557847400885513e-07,1.7557847400885513e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.9313632140974063e-06,5.267354220265654e-07,0.0,8.638460921235673e-05,1.7557847400885513e-07,2.1244995355071472e-05,0.00037152405100273744,0.0,0.0,0.0,0.0,1.7557847400885513e-07,1.0534708440531308e-06,0.0,0.0,0.0,0.0,1.0007973018504742e-05,0.0,1.7557847400885513e-07,0.0,1.0534708440531308e-06,3.5115694801771026e-07
it,1.7557847400885513e-07,0.0005960889192600632,4.1963255288116375e-05,0.0,3.142854684758507e-05,1.5626484186788105e-05,3.40622239577179e-05,0.0010496081176249359,4.0558627496045535e-05,2.8970448211461095e-05,3.037507600353194e-05,0.0002510772178326628,3.687147954185958e-06,2.0015946037009483e-05,3.3359910061682475e-06,8.778923700442756e-07,2.984834058150537e-06,8.778923700442756e-07,1.2466071654628715e-05,3.072623295154965e-05,1.7557847400885513e-06,0.0,1.7557847400885513e-07,2.6512349575337125e-05,3.8627264281948125e-06,0.0,6.671982012336495e-06,0.00027618493961592913,1.9313632140974063e-06,1.0534708440531308e-06,0.0,0.00017698310180092597,0.0,0.0,3.1604125321593925e-06,0.0,2.809255584141682e-06,0.0,1.1237022336566728e-05,1.7557847400885513e-07,0.0,0.0,2.984834058150537e-06,0.0,4.213883376212523e-06,1.7557847400885513e-07,1.4924170290752687e-05,5.267354220265654e-07,4.1612098340098665e-05,4.038304902203668e-06
at,0.0,1.4221856394717265e-05,1.404627792070841e-06,0.0,1.0534708440531308e-06,3.687147954185958e-05,1.5802062660796963e-06,1.0534708440531308e-06,1.7557847400885513e-06,4.038304902203668e-06,1.5802062660796963e-06,1.404627792070841e-06,2.0542681459036052e-05,0.0,0.0,5.091775746256799e-06,1.7557847400885513e-07,2.2825201621151167e-06,8.778923700442757e-06,0.0,7.023138960354205e-07,0.0,0.0,2.2474044673133457e-05,1.2817228602646425e-05,0.0,3.8627264281948125e-06,8.954502174451612e-06,1.0007973018504742e-05,2.633677110132827e-06,0.0,0.0,1.7557847400885513e-07,3.5115694801771026e-07,1.7557847400885513e-07,1.7557847400885513e-07,3.5115694801771026e-07,0.0,1.404627792070841e-06,3.5115694801771026e-07,0.0,1.7557847400885513e-07,1.404627792070841e-06,1.2290493180619858e-06,0.0,0.0,0.0,1.0534708440531308e-06,7.023138960354205e-07,0.0
