,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,2.16e-06,0.00229464,0.00567761,1.8e-06,0.00235832,0.00380714,0.00141715,0.00071415,0.0012495,0.0002227,0.00151609,0.00106026,8.491e-05,0.00104155,0.00055441,4.785e-05,8.27e-06,7.088e-05,5.505e-05,0.00068141,3.96e-06,0.0,0.0,3.022e-05,2.914e-05,0.0,1.367e-05,0.00034538,8.419e-05,1.835e-05,3.24e-06,0.00061198,7.2e-06,9.71e-06,3.058e-05,3.96e-06,9.71e-06,0.0,1.799e-05,1.079e-05,0.0,6.84e-06,1.8e-06,7.2e-06,8.63e-06,2.52e-06,0.00082604,9.35e-06,9.714e-05,3.96e-06
and,3.6e-07,0.0,3.96e-06,3.6e-07,5.76e-06,2.015e-05,6.48e-06,3.6e-07,5.4e-06,1.44e-06,2.446e-05,1.44e-06,3.6e-07,3.24e-06,1.44e-06,0.0,7.2e-07,3.6e-07,3.96e-06,0.0,2.88e-06,3.6e-07,0.0,0.0,3.6e-07,0.0,7.2e-07,0.0,3.6e-07,1.8e-06,3.6e-07,1.8e-06,1.8e-06,1.44e-06,3.24e-06,0.0,2.16e-06,0.0,3.6e-06,2.52e-06,0.0,3.6e-07,0.0,0.0,0.0,3.6e-07,3.6e-07,0.0,1.08e-06,0.0
of,2.16e-06,1.295e-05,2.339e-05,0.0,2.015e-05,2.95e-05,5.04e-06,1.439e-05,3.24e-06,2.698e-05,2.16e-06,0.00017809,3.6e-07,5.4e-06,4.68e-06,2.16e-06,1.08e-06,1.583e-05,8.27e-06,1.8e-06,0.0,0.0,0.0,0.0,3.6e-06,0.0,0.0,9.71e-06,7.2e-07,4.68e-06,0.0,0.0,1.44e-06,0.0,3.24e-06,0.0,1.08e-06,0.0,7.2e-07,3.6e-06,0.0,0.0,0.0,7.2e-07,1.44e-06,0.0,5.04e-06,0.0,0.00012988,1.08e-06
a,0.0,0.00070444,0.00082101,1.8e-06,0.00075589,0.00114876,0.00071811,9.462e-05,0.00087353,0.00078719,0.00026048,0.00189242,7.555e-05,0.00015974,0.00020651,0.00011765,1.799e-05,0.00017413,0.00031984,0.0002209,0.0,0.0,0.0,4.857e-05,5.936e-05,3.6e-07,1.619e-05,0.00026659,0.0001324,2.52e-06,1.259e-05,2.59e-05,6.84e-06,3.96e-06,1.187e-05,5.76e-06,3.922e-05,0.0,2.59e-05,2.554e-05,0.0,1.439e-05,2.88e-06,4.497e-05,1.331e-05,0.0,0.00030401,1.871e-05,2.52e-06,1.583e-05
to,3.6e-07,0.00011765,3.6e-07,3.6e-07,1.08e-06,1.943e-05,3.6e-06,3.24e-06,1.08e-06,7.16e-05,1.259e-05,3.24e-06,3.24e-06,3.6e-07,7.2e-07,2.051e-05,2.16e-06,1.727e-05,3.454e-05,0.0,3.6e-06,0.0,0.0,2.267e-05,3.24e-06,0.0,2.734e-05,0.00011081,3.13e-05,3.24e-06,1.44e-06,0.0,3.6e-07,3.24e-06,9.35e-06,9.35e-06,0.0,0.0,7.303e-05,2.878e-05,0.0,1.44e-06,3.6e-07,1.8e-06,6.48e-06,3.6e-07,0.0,3.6e-06,3.6e-06,1.08e-06
in,3.6e-07,3.418e-05,1.08e-06,0.0,6.48e-06,0.0,3.24e-06,2.914e-05,2.16e-06,1.799e-05,7.92e-06,3.6e-06,2.914e-05,3.6e-07,1.08e-06,3.24e-06,2.88e-06,5.04e-06,1.619e-05,3.6e-07,3.6e-07,0.0,0.0,1.08e-06,4.32e-06,0.0,9.35e-06,5.684e-05,7.92e-06,3.6e-06,1.08e-06,7.2e-07,3.96e-06,2.88e-06,7.2e-07,3.6e-07,7.2e-07,0.0,6.84e-06,4.32e-06,0.0,1.8e-06,0.0,2.88e-06,2.16e-06,0.0,0.0,2.88e-06,3.24e-06,2.88e-06
for,0.0,2.195e-05,3.6e-07,3.6e-07,2.52e-06,5.04e-06,1.08e-06,6.12e-06,1.44e-06,1.115e-05,1.44e-06,1.8e-06,5.04e-06,0.0,1.08e-06,3.6e-07,3.6e-07,1.08e-06,7.92e-06,0.0,0.0,0.0,0.0,2.16e-06,0.0,0.0,1.8e-06,0.00011873,1.8e-06,1.08e-06,0.0,1.08e-06,0.0,0.0,3.6e-07,0.0,7.2e-07,0.0,4.32e-06,3.24e-06,0.0,3.6e-07,0.0,0.0,0.0,0.0,0.0,0.0,1.44e-06,0.0
that,3.6e-07,3.922e-05,2.195e-05,0.0,1.115e-05,1.043e-05,5.4e-06,0.0,3.6e-06,3.094e-05,1.115e-05,8.27e-06,0.0,7.56e-06,0.0,7.2e-07,7.2e-07,5.4e-06,1.8e-06,2.52e-06,0.0,3.6e-07,0.0,3.6e-07,0.0,0.0,1.08e-06,5.04e-06,1.8e-06,3.6e-07,0.0,0.0,0.0,0.0,3.6e-07,0.0,0.0,0.0,1.08e-06,3.6e-07,0.0,0.0,0.0,0.0,0.0,7.2e-07,1.44e-06,0.0,2.446e-05,3.6e-07
with,0.0,1.475e-05,3.6e-07,0.0,3.6e-07,1.295e-05,7.2e-07,6.48e-06,3.6e-07,7.2e-07,3.24e-06,4.32e-06,4.68e-06,0.0,0.0,3.6e-07,2.52e-06,3.6e-07,1.907e-05,0.0,0.0,0.0,0.0,2.88e-06,1.44e-06,0.0,3.6e-07,2.662e-05,2.16e-06,2.52e-06,3.6e-07,3.6e-07,0.0,0.0,0.0,7.2e-07,3.6e-07,0.0,6.48e-06,6.12e-06,0.0,3.6e-07,0.0,7.2e-07,0.0,0.0,0.0,3.6e-07,1.08e-06,1.08e-06
is,0.0,4.965e-05,1.8e-06,7.2e-07,7.2e-07,1.08e-06,7.2e-07,0.00014067,3.6e-07,0.0,1.08e-06,2.339e-05,0.0,0.0,0.0,0.0,3.922e-05,3.6e-07,0.00047598,0.0,0.0,0.0,0.0,3.6e-07,0.0,0.0,3.6e-07,2.231e-05,4.32e-06,7.2e-07,2.806e-05,3.6e-07,2.231e-05,3.6e-07,0.0,0.0,3.6e-07,0.0,0.0,3.6e-07,0.0,0.0,0.0,0.0,4.857e-05,3.6e-07,3.6e-07,0.0,1.115e-05,0.0
on,3.6e-07,7.2e-06,3.6e-07,0.0,1.44e-06,2.59e-05,3.96e-06,2.16e-06,3.6e-07,2.59e-05,0.0,0.0,1.475e-05,0.0,0.0,2.88e-06,7.2e-07,6.12e-06,4.68e-06,0.0,0.0,0.0,0.0,8.27e-06,8.27e-06,0.0,7.2e-07,1.835e-05,3.24e-06,3.238e-05,3.6e-07,0.0,1.44e-06,3.6e-07,3.418e-05,1.08e-06,5.4e-06,0.0,6.12e-06,9.35e-06,0.0,1.08e-06,0.0,1.44e-06,0.0,0.0,0.0,5.04e-06,0.0,0.0
as,0.0,1.907e-05,1.44e-06,0.0,2.878e-05,5.76e-06,2.52e-06,2.698e-05,2.16e-06,2.231e-05,1.44e-06,0.0,2.051e-05,0.0,1.08e-06,7.2e-07,3.6e-06,4.68e-06,5.073e-05,3.6e-07,0.0,0.0,0.0,2.52e-06,2.16e-06,0.0,9.71e-06,0.00010649,5.4e-06,7.2e-07,3.6e-07,7.2e-07,1.44e-06,3.6e-07,1.08e-06,1.44e-06,3.96e-06,0.0,1.44e-06,1.043e-05,0.0,0.0,0.0,0.0,3.6e-07,1.08e-06,0.0,1.44e-06,1.08e-06,3.6e-07
are,0.0,3.058e-05,8.99e-06,0.0,7.2e-07,3.6e-07,7.2e-07,0.00012304,1.08e-06,3.6e-07,0.0,7.56e-06,0.0,3.6e-07,0.0,0.0,2.16e-06,0.0,3.6e-07,0.0,0.0,3.6e-07,0.0,0.0,0.0,0.0,0.0,1.691e-05,3.96e-06,7.2e-07,0.0,1.8e-06,7.843e-05,0.0,0.0,9.138e-05,0.0,0.0,3.598e-05,3.6e-07,0.0,0.00015003,0.0,0.0,2.303e-05,5.4e-06,0.0,0.0,0.0,0.0
