,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,6.1e-06,0.00125893,0.00459176,1.33e-06,0.00183177,0.00371208,0.00139312,0.00060069,0.0006829,0.00060308,0.00134698,0.00048824,0.00012703,0.0009497,0.00063676,5.781e-05,5.171e-05,0.00020474,0.00014135,0.00095288,1.86e-06,5.3e-07,2.7e-07,5.49e-05,0.00014215,0.0,5.914e-05,0.00029968,8.964e-05,0.00015011,3.845e-05,0.00039436,3.713e-05,1.618e-05,7.054e-05,1.432e-05,1.14e-05,0.0,4.058e-05,2.732e-05,0.0,1.936e-05,1.565e-05,1.883e-05,4.455e-05,1.034e-05,0.00026494,3.474e-05,0.00014851,0.00010873
and,5.3e-07,8.22e-06,1.459e-05,1.59e-06,3.792e-05,4.429e-05,2.679e-05,2.228e-05,1.379e-05,1.379e-05,2.307e-05,4.51e-06,6.9e-06,5.3e-06,5.83e-06,5.3e-07,6.63e-06,4.24e-06,5.039e-05,4.51e-06,2.92e-06,5.3e-07,0.0,1.33e-06,1.86e-06,0.0,2.92e-06,2.39e-06,8e-07,2.626e-05,2.546e-05,1.22e-05,5.04e-06,3.45e-06,2.92e-06,1.06e-06,1.86e-06,2.7e-07,1.963e-05,1.406e-05,0.0,2.65e-06,5.3e-07,1.06e-06,0.0,1.59e-06,1.33e-06,1.86e-06,7.69e-06,9.28e-06
of,2.7e-07,8.619e-05,1.538e-05,0.0,1.883e-05,1.75e-05,5.3e-06,2.679e-05,8.75e-06,4.376e-05,7.69e-06,5.622e-05,4.51e-06,4.51e-06,4.24e-06,2.65e-06,2.92e-06,2.917e-05,9.81e-06,2.201e-05,2.7e-07,0.0,0.0,1.59e-06,6.36e-06,0.0,3.71e-06,1.114e-05,6.63e-06,2.201e-05,3.71e-06,1.33e-06,2.92e-06,2.12e-06,1.86e-06,1.06e-06,5.3e-07,0.0,6.1e-06,3.18e-06,0.0,0.0,5.3e-07,2.39e-06,1.697e-05,0.0,4.51e-06,2.92e-06,0.00025115,1.273e-05
a,1.33e-06,0.00070492,0.00109105,5.3e-07,0.00063543,0.00111015,0.00044607,0.00016416,0.00058053,0.00083062,0.00048533,0.00067017,0.00017742,0.00018591,0.0003864,0.00013844,5.728e-05,0.00031825,0.00024399,0.00022489,8e-07,5.3e-07,0.0,0.00013499,0.00010449,2.7e-07,6.524e-05,9.097e-05,9.097e-05,9.28e-06,7.187e-05,7.558e-05,2.44e-05,4.031e-05,1.671e-05,2.201e-05,1.406e-05,0.0,0.0001143,2.785e-05,0.0,1.193e-05,1.671e-05,3.739e-05,2.44e-05,2.7e-07,0.0001578,2.917e-05,1.379e-05,3.766e-05
to,1.06e-06,9.76e-05,8.22e-06,1.06e-06,1.644e-05,2.413e-05,2.042e-05,3.342e-05,5.57e-06,0.00015568,4.217e-05,2.387e-05,6.1e-06,2.65e-06,2.12e-06,3.342e-05,1.087e-05,5.649e-05,0.00014401,1.33e-06,1.06e-06,0.0,0.0,0.00010635,7.96e-06,0.0,8.274e-05,4.8e-05,2.626e-05,1.22e-05,8.22e-06,1.3e-05,1.034e-05,2.228e-05,1.14e-05,2.201e-05,8e-07,0.0,8.778e-05,4.058e-05,0.0,7.69e-06,1.86e-06,5.83e-06,6.36e-06,1.59e-06,1.59e-06,2.891e-05,1.114e-05,2.307e-05
in,2.92e-06,0.0001692,1.353e-05,8e-07,2.705e-05,7.43e-06,1.538e-05,5.755e-05,6.63e-06,0.00012703,2.016e-05,2.201e-05,7.373e-05,1.86e-06,1.59e-06,9.02e-06,6.63e-06,6.047e-05,6.63e-05,2.92e-06,2.12e-06,0.0,0.0,8.49e-06,1.379e-05,0.0,1.379e-05,6.577e-05,3.076e-05,3.527e-05,1.75e-05,1.193e-05,2.201e-05,1.671e-05,2.493e-05,1.14e-05,1.59e-06,0.0,1.724e-05,1.379e-05,0.0,1.061e-05,4.51e-06,1.167e-05,3.262e-05,5.3e-07,2.7e-07,2.148e-05,1.777e-05,6.126e-05
for,2.7e-07,5.331e-05,2.65e-06,2.7e-07,6.36e-06,1.432e-05,1.59e-06,1.193e-05,3.71e-06,3.289e-05,9.81e-06,9.55e-06,5.3e-06,5.3e-07,2.12e-06,1.06e-06,5.3e-06,5.04e-06,2.732e-05,2.7e-07,8e-07,0.0,0.0,1.59e-06,1.33e-06,0.0,6.63e-06,3.289e-05,7.96e-06,2.387e-05,8e-07,2.39e-06,2.12e-06,1.59e-06,1.06e-06,5.3e-07,5.3e-07,0.0,1.512e-05,7.69e-06,0.0,1.33e-06,1.59e-06,1.06e-06,1.86e-06,2.7e-07,2.7e-07,2.65e-06,8.22e-06,8e-07
that,3.18e-06,0.00018538,9.707e-05,2.7e-07,3.925e-05,9.335e-05,2.917e-05,1.538e-05,2.732e-05,0.00013234,4.005e-05,5.04e-06,2.864e-05,3.607e-05,7.43e-06,8.75e-06,1.86e-06,3.739e-05,2.069e-05,4.482e-05,0.0,2.7e-07,0.0,7.43e-06,5.57e-06,0.0,1.565e-05,4.827e-05,8.49e-06,6.1e-06,9.55e-06,2.042e-05,2.39e-06,4.24e-06,1.33e-06,1.06e-06,2.7e-07,0.0,1.512e-05,8.75e-06,0.0,1.59e-06,1.86e-06,1.06e-06,1.06e-06,0.0,7.16e-06,1.59e-06,1.485e-05,9.521e-05
with,5.3e-07,3.58e-05,1.06e-06,8e-07,5.3e-06,1.644e-05,2.39e-06,1.246e-05,1.06e-06,5.57e-06,8.49e-06,8.22e-06,1.86e-06,0.0,8e-07,1.33e-06,5.83e-06,2.65e-06,2.944e-05,5.3e-07,8e-07,2.7e-07,0.0,1.86e-06,2.65e-06,0.0,3.18e-06,2.175e-05,5.04e-06,3.71e-06,3.98e-06,1.86e-06,3.98e-06,2.92e-06,8e-07,1.33e-06,2.7e-07,0.0,5.3e-06,9.81e-06,0.0,2.7e-07,2.7e-07,5.3e-07,2.7e-07,1.06e-06,5.3e-07,8e-07,5.04e-06,3.45e-06
is,0.0,0.00017928,3.925e-05,2.7e-07,5.83e-06,2.466e-05,3.71e-06,0.00019148,5.04e-06,5.57e-06,5.57e-06,5.835e-05,8e-07,8e-07,5.3e-07,2.12e-06,0.00017477,5.3e-07,0.00024929,1.06e-06,2.7e-07,5.3e-07,0.0,8e-07,2.12e-06,0.0,8e-07,4.933e-05,1.14e-05,1.33e-06,0.00010847,5.3e-06,0.00011855,2.12e-06,5.3e-07,2.7e-07,0.0,0.0,9.55e-06,1.33e-06,0.0,0.0,2.7e-07,2.7e-07,0.0001334,2.7e-07,2.7e-07,0.0,2.148e-05,4.51e-06
