,the,and,of,a,to,in,for,that,with,is,on,as,are,from,by,has,this,was,it,at,new,his,their,have,be,an,not,but,or,more,he,about,who,i,will,we,can,its,you,her,our,they,also,been,which,these,into,were,one,said
the,5.857643433106767e-06,0.003114366530164225,0.00774433233419175,1.477603748891797e-06,0.003532950563600287,0.0050676003715118,0.0017097986237176509,0.0011578608519441044,0.0014264153333051885,0.0004273441128044919,0.0020050027441212478,0.0011103136741672647,0.0001346202558365348,0.0013546460083590155,0.0008275636425043272,8.93422552454933e-05,2.1319711234010214e-05,0.00014966015113775487,9.546375649090218e-05,0.0008119960315785029,3.3246084350065434e-06,1.5831468738126398e-07,0.0,5.5199054333600706e-05,3.551526153586355e-05,0.0,3.2032338413475744e-05,0.00030829146789378137,0.00011097859585426605,1.8153417486384937e-05,8.179592181365306e-06,0.0008912589183940558,3.261282560054038e-05,6.174272807869295e-06,3.699286528475535e-05,9.393338117954995e-06,1.234854561573859e-05,1.319289061510533e-06,2.5541436230843923e-05,1.4512179676615865e-05,0.0,1.551483936336387e-05,5.752100308185925e-06,1.4037235614472073e-05,3.298222653776333e-05,6.75475999493393e-06,0.0008692004052855997,2.2850086545362432e-05,0.00013256216490057838,2.1583569046312322e-05
and,1.0554312492084265e-06,1.160974374129269e-06,5.857643433106767e-06,2.638578123021066e-06,1.472326592645755e-05,3.224342466331743e-05,1.271794655296154e-05,4.01063874699202e-06,1.0184911554861315e-05,4.063410309452442e-06,1.7309072487018195e-05,2.744121247941909e-06,1.155697217883227e-05,5.17161312112129e-06,2.3747203107189595e-06,2.110862498416853e-07,2.110862498416853e-06,1.1082028116688479e-06,8.971165618271626e-06,4.221724996833706e-07,1.430109342677418e-05,4.221724996833706e-07,0.0,9.498881242875839e-07,1.1082028116688479e-06,0.0,4.221724996833706e-07,1.5831468738126398e-07,2.110862498416853e-07,5.541014058344239e-06,2.744121247941909e-06,3.1662937476252797e-06,1.2137459365896905e-06,2.585806560560645e-06,1.952547811035589e-06,4.221724996833706e-07,3.6412378097690714e-06,5.2771562460421326e-08,3.852324059610757e-06,4.327268121754549e-06,0.0,1.319289061510533e-06,0.0,3.1662937476252797e-07,0.0,7.388018744458985e-07,6.332587495250559e-07,2.638578123021066e-07,4.749440621437919e-06,2.638578123021066e-07
of,5.17161312112129e-06,2.6016380292987713e-05,2.8021699666483724e-05,5.2771562460421326e-08,2.4855405918858444e-05,2.2269599358297798e-05,4.01063874699202e-06,1.2506860303119854e-05,3.060750622704437e-06,4.533077215350192e-05,4.696669058977498e-06,0.0001902942542322793,2.3747203107189595e-06,5.593785620804661e-06,3.1662937476252797e-06,5.382699370962975e-06,3.6940093722294926e-07,2.9182674040612993e-05,1.1134799679148899e-05,6.438130620171402e-06,0.0,0.0,0.0,7.915734369063199e-07,2.3747203107189595e-06,0.0,3.1662937476252797e-07,1.034322624224258e-05,1.3720606239709545e-06,5.277156246042132e-06,7.915734369063199e-07,4.7494406214379195e-07,6.490902182631823e-06,5.2771562460421326e-08,1.8470046861147464e-06,0.0,8.443449993667412e-07,0.0,1.5303753113522184e-06,6.015958120488031e-06,0.0,3.1662937476252797e-07,2.110862498416853e-07,1.002659686748005e-06,9.446109680415418e-06,0.0,3.4829231223878076e-06,6.860303119854772e-07,0.00016227255456579558,2.2164056233376958e-06
a,1.5831468738126398e-07,0.0011065668932325747,0.0010261958036053532,1.160974374129269e-06,0.0011011841938616117,0.0012993941824629544,0.0008118377168911217,0.00015277367332291973,0.0011627686072529235,0.0017272660108920504,0.0003845463756490902,0.0016815658378013256,0.00019731287203951533,0.0001878139907966395,0.00035641913285768565,0.0002830666610377,6.031789589226157e-05,0.0005489825642757631,0.0004383205977962595,0.00025604762105796425,5.2771562460421326e-08,5.2771562460421326e-08,5.2771562460421326e-08,0.00012443534428167348,9.171697555621227e-05,5.2771562460421326e-08,3.3140541225144594e-05,0.00023673322919745007,0.0001927217461054587,1.6886899987334824e-06,3.820661122134504e-05,4.258665090556001e-05,3.9314814033013885e-05,5.013298433740026e-06,4.717777683961667e-05,1.593701186304724e-05,7.815468400388398e-05,6.174272807869295e-06,4.100350403174737e-05,2.8813273103390045e-05,0.0,3.8892641533330514e-05,2.2269599358297798e-05,0.00010037151179972136,4.84970659011272e-05,1.0554312492084265e-06,0.00023325030607506227,6.285093089036179e-05,1.0923713429307215e-05,6.865580276100814e-05
to,3.6940093722294926e-07,0.0003155211719508591,9.498881242875839e-07,4.221724996833706e-07,2.6913496854814875e-06,1.5725925613205555e-05,6.174272807869295e-06,6.015958120488031e-06,1.477603748891797e-06,9.794401992654198e-05,5.41963946468527e-05,8.865622493350783e-06,3.7995524971503356e-06,1.002659686748005e-06,9.498881242875839e-07,1.6253641237809767e-05,4.591125934056656e-06,2.4063832481952124e-05,5.825980495630514e-05,3.6940093722294926e-07,8.126820618904883e-06,0.0,0.0,3.0818592476886056e-05,5.277156246042132e-06,0.0,3.3615485287288384e-05,4.981635496263773e-05,2.5330349981002237e-05,1.2295774053278168e-05,2.3747203107189595e-06,1.5303753113522184e-06,3.5356946848482286e-06,3.219065310085701e-06,1.1662515303753113e-05,2.031705154726221e-05,2.638578123021066e-07,0.0,6.723097057457677e-05,2.54886646683835e-05,0.0,3.219065310085701e-06,5.277156246042132e-07,2.4802634356398023e-06,4.749440621437919e-06,2.110862498416853e-07,5.2771562460421326e-08,5.488242495883818e-06,5.804871870646346e-06,1.477603748891797e-06
in,6.332587495250559e-07,6.43285346392536e-05,2.2164056233376958e-06,0.0,1.234854561573859e-05,1.0554312492084265e-06,5.224384683581711e-06,2.8074471228944147e-05,8.971165618271626e-06,3.298222653776333e-05,1.2137459365896905e-05,8.548993118588255e-06,6.179549964115338e-05,6.860303119854772e-07,7.388018744458985e-07,9.97382530501963e-06,6.068729682948452e-06,2.1266939671549796e-05,2.0897538734326843e-05,2.110862498416853e-07,2.110862498416853e-07,0.0,0.0,5.118841558660869e-06,4.538354371596234e-06,0.0,9.815510617638367e-06,4.327268121754549e-05,1.1029256554228058e-05,4.38003968421497e-06,6.75475999493393e-06,7.915734369063199e-07,1.8575589986068305e-05,1.5303753113522184e-06,3.3246084350065434e-06,1.477603748891797e-06,1.477603748891797e-06,1.0554312492084265e-07,5.857643433106767e-06,4.485582809135813e-06,0.0,3.4301515599273862e-06,5.804871870646345e-07,5.488242495883818e-06,8.337906868746569e-06,2.638578123021066e-07,0.0,6.279815932790138e-06,7.018617807236037e-06,4.0581331532064e-05
for,1.0554312492084265e-07,7.514670494363996e-05,7.388018744458985e-07,1.5831468738126398e-07,2.5330349981002237e-06,6.121501245408874e-06,1.0554312492084265e-06,4.485582809135813e-06,1.3720606239709545e-06,1.6200869675349348e-05,3.746780934689914e-06,6.807531557394351e-06,8.496221556127834e-06,2.638578123021066e-07,4.7494406214379195e-07,8.971165618271625e-07,1.1082028116688479e-06,2.110862498416853e-06,1.2190230928357327e-05,5.2771562460421326e-08,5.2771562460421326e-08,0.0,0.0,1.477603748891797e-06,8.971165618271625e-07,0.0,5.277156246042132e-06,9.403892430447081e-05,3.7995524971503356e-06,1.477603748891797e-06,4.221724996833706e-07,1.002659686748005e-06,3.6940093722294926e-07,5.2771562460421326e-08,1.5831468738126398e-06,4.7494406214379195e-07,3.1662937476252797e-07,0.0,4.1689534343732845e-06,6.121501245408874e-06,0.0,7.388018744458985e-07,0.0,0.0,6.332587495250559e-07,1.0554312492084265e-07,5.2771562460421326e-08,4.221724996833706e-07,5.699328745725503e-06,0.0
that,1.2137459365896905e-06,0.000206917296407312,2.469709123147718e-05,5.2771562460421326e-08,1.2190230928357327e-05,1.1926373116055219e-05,4.327268121754549e-06,1.0554312492084265e-07,2.4802634356398023e-06,5.7046059019715455e-05,9.604424367796681e-06,4.4328112466753915e-06,5.2771562460421326e-08,4.4328112466753915e-06,4.7494406214379195e-07,3.219065310085701e-06,4.221724996833706e-07,5.593785620804661e-06,1.952547811035589e-06,2.00531937349601e-06,2.110862498416853e-07,5.2771562460421326e-08,0.0,1.1082028116688479e-06,3.6940093722294926e-07,0.0,1.3720606239709545e-06,1.1082028116688478e-05,4.1689534343732845e-06,3.1662937476252797e-07,1.6886899987334824e-06,8.971165618271625e-07,6.860303119854772e-07,5.2771562460421326e-08,1.5831468738126398e-07,1.0554312492084265e-07,0.0,0.0,2.5330349981002237e-06,3.6940093722294926e-07,0.0,3.1662937476252797e-07,2.110862498416853e-07,1.5831468738126398e-07,5.2771562460421326e-08,9.498881242875839e-07,9.498881242875839e-07,0.0,4.121459028158905e-05,2.1794655296154008e-05
with,2.638578123021066e-07,3.345717059990712e-05,5.277156246042132e-07,0.0,1.635918436273061e-06,1.1134799679148899e-05,1.319289061510533e-06,1.6411955925191034e-05,4.7494406214379195e-07,1.8997762485751678e-06,3.4829231223878076e-06,4.063410309452442e-06,9.340566555494575e-06,4.221724996833706e-07,1.5831468738126398e-07,4.221724996833706e-07,1.8470046861147464e-06,7.915734369063199e-07,2.6544095917591925e-05,1.5831468738126398e-07,2.110862498416853e-07,0.0,0.0,1.477603748891797e-06,1.4248321864313759e-06,0.0,1.7414615611939038e-06,3.4037657786971755e-05,3.060750622704437e-06,1.635918436273061e-06,1.1082028116688479e-06,3.1662937476252797e-07,1.794233123654325e-06,2.638578123021066e-07,1.0554312492084265e-07,1.2137459365896905e-06,4.7494406214379195e-07,0.0,1.6095326550428504e-05,5.910414995567188e-06,0.0,5.804871870646345e-07,5.2771562460421326e-08,6.860303119854772e-07,5.2771562460421326e-08,2.110862498416853e-07,1.5831468738126398e-07,2.110862498416853e-07,8.654536243509097e-06,1.8470046861147464e-06
is,1.477603748891797e-06,0.0001182610714738042,4.643897496517076e-06,4.7494406214379195e-07,1.477603748891797e-06,2.1636340608772744e-06,2.321948748258538e-06,0.0003620656900409507,8.443449993667412e-07,1.5831468738126398e-06,1.5831468738126398e-06,2.707181154219614e-05,0.0,8.443449993667412e-07,7.915734369063199e-07,5.277156246042132e-07,0.00011076750960442437,1.0554312492084265e-07,0.0005052349389960737,3.1662937476252797e-07,5.2771562460421326e-08,5.2771562460421326e-08,5.2771562460421326e-08,5.2771562460421326e-08,3.1662937476252797e-07,0.0,6.860303119854772e-07,3.862878372102841e-05,6.332587495250559e-06,4.221724996833706e-07,4.121459028158905e-05,1.002659686748005e-06,6.654494026259129e-05,2.638578123021066e-07,1.0554312492084265e-07,5.2771562460421326e-08,5.804871870646345e-07,0.0,6.860303119854772e-07,3.6940093722294926e-07,0.0,1.5831468738126398e-07,5.2771562460421326e-08,1.0554312492084265e-07,0.00014765483176425886,4.221724996833706e-07,3.6940093722294926e-07,0.0,1.957824967281631e-05,5.804871870646345e-07
