,the,of,to,and,in,a,be,that,it,is,which,as,by,this,would,have,or,for,not,will,their,with,from,are,an,they,on,states,been,government,may,state,all,but,its,power,has,other,if,at,more,than,them,any,one,people,no,those,there,we
than,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006609385327164573,0.0,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464285714285714,0.0,0.0024752475247524753,0.0,0.0041928721174004195,0.0,0.0,0.0,0.002512562814070352,0.0,0.008875739644970414,0.0,0.0,0.11986301369863013,0.0,0.0,0.0,0.007246376811594203,0.003787878787878788,0.0,0.0,0.0,0.0
them,0.0,0.010722740565380867,0.006248605222048649,0.0,0.0018011527377521613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00954653937947494,0.0,0.0,0.001303780964797914,0.0,0.008620689655172414,0.0,0.0,0.0,0.005025125628140704,0.011513157894736841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
any,0.0,0.007659100403843476,0.00557911180540058,0.0,0.018371757925072046,0.0,0.0035366931918656055,0.002983293556085919,0.0006609385327164573,0.0022900763358778627,0.0024752475247524753,0.002107481559536354,0.02028639618138425,0.0,0.0021691973969631237,0.01303780964797914,0.005390835579514825,0.014367816091954023,0.0,0.0,0.0,0.01675041876046901,0.021381578947368418,0.0,0.0,0.0,0.005434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079155672823219,0.0,0.02710027100271003,0.06504065040650406,0.0,0.025559105431309903,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0026666666666666666,0.0
one,0.004400977995110024,0.0038991783874112243,0.0022316447221602323,0.0003769317753486619,0.012247838616714697,0.0,0.0008841732979664014,0.002386634844868735,0.0006609385327164573,0.00916030534351145,0.0016501650165016502,0.005268703898840885,0.00477326968973747,0.0,0.0,0.001303780964797914,0.004043126684636119,0.0014367816091954023,0.0,0.0,0.0,0.0016750418760469012,0.009868421052631578,0.0,0.0016129032258064516,0.0,0.019021739130434784,0.0,0.0,0.0,0.0,0.0,0.0,0.01767676767676768,0.0,0.0,0.0,0.0029585798816568047,0.0,0.018970189701897018,0.0,0.02875399361022364,0.0,0.005571030640668524,0.0,0.0,0.0,0.0,0.0,0.0
people,0.023960880195599023,0.0002785127419579446,0.0,0.0,0.0,0.0016227180527383367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no,0.0,0.0012533073388107507,0.0002231644722160232,0.0022615906520919715,0.003962536023054755,0.00040567951318458417,0.01768346595932803,0.004176610978520286,0.0006609385327164573,0.02748091603053435,0.0016501650165016502,0.0031612223393045306,0.0011933174224343676,0.0,0.0021691973969631237,0.035202086049543675,0.0026954177897574125,0.0014367816091954023,0.0,0.0,0.0,0.006700167504187605,0.0,0.003527336860670194,0.0,0.0,0.002717391304347826,0.002232142857142857,0.004140786749482402,0.0,0.0,0.0041928721174004195,0.0,0.010101010101010102,0.0,0.002512562814070352,0.023746701846965697,0.0,0.005420054200542005,0.01084010840108401,0.0,0.0,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
those,0.0,0.013229355243002368,0.00691809863869672,0.004523181304183943,0.00792507204610951,0.0,0.0,0.0011933174224343676,0.001982815598149372,0.0,0.0024752475247524753,0.005268703898840885,0.014319809069212411,0.0,0.0,0.0,0.0,0.010057471264367816,0.0,0.0,0.0,0.018425460636515914,0.011513157894736841,0.003527336860670194,0.0,0.0,0.0,0.002232142857142857,0.0,0.0,0.0,0.0,0.03554502369668247,0.0025252525252525255,0.0,0.0,0.0,0.0029585798816568047,0.005420054200542005,0.0,0.0,0.019169329073482427,0.003401360544217687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
there,0.0,0.0,0.0,0.003015454202789295,0.0,0.0,0.0,0.038782816229116945,0.001982815598149372,0.006870229007633588,0.006600660066006601,0.011591148577449946,0.0,0.0022123893805309734,0.0021691973969631237,0.001303780964797914,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0,0.0,0.015625,0.0,0.017326732673267328,0.0,0.0,0.002369668246445498,0.025252525252525256,0.0,0.0,0.0,0.005917159763313609,0.051490514905149054,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.003401360544217687
we,0.0,0.0,0.0,0.003015454202789295,0.0,0.0,0.0004420866489832007,0.007159904534606206,0.0,0.0,0.024752475247524754,0.002107481559536354,0.0,0.00331858407079646,0.0,0.003911342894393741,0.0,0.0014367816091954023,0.0,0.0,0.0,0.0,0.0,0.007054673721340388,0.0,0.0,0.0,0.008928571428571428,0.0,0.009900990099009901,0.0,0.0041928721174004195,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.11653116531165311,0.0,0.0,0.003194888178913738,0.0,0.0,0.0036231884057971015,0.007575757575757576,0.0,0.0,0.0,0.0
OTHER,0.8983863080684596,0.44018938866453144,0.5262218254853828,0.6061062947606484,0.377521613832853,0.9411764705882353,0.7913351016799293,0.37410501193317425,0.3192333113020489,0.47938931297709925,0.34653465346534656,0.4320337197049525,0.4045346062052506,0.747787610619469,0.43926247288503256,0.43676662320730114,0.6549865229110512,0.33620689655172414,0.5836972343522562,0.46846846846846846,0.9821428571428571,0.3953098827470687,0.2746710526315789,0.6313932980599647,0.9983870967741936,0.5298651252408477,0.2826086956521739,0.31026785714285715,0.89648033126294,0.2747524752475248,0.41865509761388287,0.49895178197064993,0.509478672985782,0.3257575757575758,0.9802469135802468,0.17336683417085427,0.33509234828496043,0.6686390532544378,0.23577235772357724,0.43360433604336046,0.75,0.20447284345047922,0.3129251700680272,0.7855153203342619,0.5434782608695652,0.23863636363636365,0.9471830985915494,0.7124600638977635,0.24,0.6258503401360545
